frame1 #-0,8906971#0,8935705#3,137846#-0,8851659#0,6948751#3,162542# -0,6844977#0,143252#3,177261#-1,030946#0,5912479#2,904486#-0,6759326#0,2099038#3,204979#-1,034317#0,595382#2,972323#-0,6502374#0,4098591#3,300417#-1,008207#0,3255529#3,10106#-0,7174107#0,5863817#3,167813#-1,013898#0,5924887#3,105757#-0,8746111#0,3720202#3,172593#-0,8685298#0,3084062#3,15873#-0,7989114#0,23946#3,16733#-0,9323308#0,2422082#3,144501#-0,8177117#-0,2352478#2,941293#-0,8130168#-0,1703437#2,957586#-0,7823506#-0,5897716#2,892613#-0,7854028#-0,5844882#2,891105#-0,7992694#-0,6514672#2,848493#-0,8372838#-0,6759179#2,892936#0  
frame2 #-0,8917214#0,8960449#3,140857#-0,8842871#0,6975447#3,162087# -0,6763547#0,1691294#3,154802#-1,033302#0,5966694#2,934924#-0,669802#0,2295741#3,188094#-1,036266#0,601739#2,961359#-0,6501436#0,4109083#3,300154#-0,9842117#0,375169#3,099422#-0,7176848#0,5871052#3,167729#-1,014378#0,5921209#3,105466#-0,8745177#0,3744249#3,172959#-0,868611#0,3107511#3,159402#-0,7990581#0,2425105#3,168225#-0,9326593#0,2438611#3,145419#-0,8175725#-0,2351335#2,941111#-0,7806181#-0,1274377#3,014673#-0,7824916#-0,5897154#2,892335#-0,7855807#-0,5771903#2,900092#-0,7998909#-0,6513689#2,849671#-0,7672564#-0,6187552#2,824703#0  
frame3 #-0,8922362#0,8958778#3,141366#-0,8841951#0,6980509#3,161875# -0,675659#0,1674991#3,153775#-1,033206#0,59676#2,934887#-0,6694255#0,2282307#3,187289#-1,034546#0,5947115#2,968733#-0,6507252#0,4104254#3,300005#-0,9980588#0,3434076#3,105085#-0,7185283#0,5881936#3,168802#-1,015168#0,5924886#3,107138#-0,874261#0,3750785#3,173029#-0,86839#0,3114156#3,159738#-0,7988047#0,2433304#3,16879#-0,9324049#0,2444598#3,145801#-0,8175715#-0,2351736#2,941173#-0,7294172#-0,09192885#3,049154#-0,7824208#-0,5898074#2,892761#-0,7537572#-0,5192676#2,918786#-0,7998633#-0,651361#2,849616#-0,735918#-0,5601379#2,844699#0  
frame4 #-0,8928859#0,8958393#3,142499#-0,8841623#0,6982593#3,16248# -0,6759856#0,1642246#3,162077#-1,033929#0,5971683#2,935827#-0,6697047#0,2262515#3,192286#-1,035291#0,6007801#2,964065#-0,6508617#0,412332#3,295166#-0,9843573#0,3524941#3,087394#-0,7184312#0,5878012#3,168977#-1,016071#0,5908863#3,110403#-0,8739098#0,374549#3,173427#-0,8681542#0,3104942#3,160196#-0,7983401#0,242095#3,168976#-0,9322621#0,2432834#3,146348#-0,8175158#-0,2351709#2,941612#-0,812106#-0,1705857#2,962829#-0,782676#-0,5888979#2,893161#-0,7841325#-0,5873243#2,902379#-0,799649#-0,651314#2,850066#-0,8116571#-0,6666032#2,870597#0  
frame5 #-0,8971473#0,9015526#3,153144#-0,8853649#0,7034317#3,16744# -0,7610189#0,2525653#3,002947#-1,037539#0,5871177#2,957979#-0,6730004#0,233593#3,147437#-1,035821#0,6002968#2,967792#-0,6460137#0,4034936#3,273342#-0,9837513#0,359886#3,091056#-0,7178673#0,5883716#3,171738#-1,016471#0,5926436#3,11548#-0,8740421#0,3744036#3,174554#-0,8682948#0,310316#3,160786#-0,7983944#0,2418591#3,16917#-0,9325486#0,2430891#3,14728#-0,8176755#-0,235219#2,941927#-0,8120851#-0,1706011#2,963143#-0,7827725#-0,5888308#2,893848#-0,784866#-0,5868756#2,902465#-0,8006157#-0,6515927#2,851499#-0,8154092#-0,6669757#2,877496#0  
frame6 #-0,9045982#0,9031138#3,178207#-0,8882782#0,7059804#3,201284# -0,7942117#0,3056218#2,953531#-1,068342#0,6621577#3,013766#-0,7704497#0,3257271#3,012886#-1,046731#0,594938#3,027965#-0,6431751#0,3917638#3,257195#-0,9818985#0,3932792#3,083086#-0,7172477#0,5889497#3,186696#-1,023508#0,589513#3,143547#-0,8737262#0,3629769#3,19216#-0,867963#0,2971392#3,172967#-0,7963889#0,2285227#3,176291#-0,9337499#0,2294615#3,159072#-0,8178681#-0,2353222#2,946672#-0,8102053#-0,1720352#2,96865#-0,7818704#-0,5899751#2,895885#-0,7874989#-0,5828062#2,901627#-0,8011816#-0,6520035#2,851746#-0,7745941#-0,6228547#2,827514#0  
frame7 #-0,917043#0,8937293#3,256842#-0,8933127#0,7205824#3,279229# -0,8547507#0,529379#2,945212#-1,035623#0,6051539#3,251071#-0,7965586#0,4682679#2,983861#-1,04844#0,5593625#3,205647#-0,6746165#0,397587#3,134566#-1,086892#0,4219883#3,082038#-0,7277279#0,5919652#3,237679#-1,050598#0,565472#3,237343#-0,8818542#0,360746#3,268173#-0,8797767#0,2917163#3,243152#-0,8048458#0,2252781#3,233651#-0,9501374#0,2133562#3,236195#-0,8152683#-0,2479129#2,989217#-1,046162#-0,2571129#3,401979#-0,7812781#-0,5879261#2,900939#-0,8560157#-0,4958303#3,032717#-0,8008702#-0,6519403#2,852185#-0,8547606#-0,5364146#2,957422#0  
frame8 #-0,9160901#0,8985147#3,311414#-0,8817824#0,7170479#3,315566# -0,8939533#0,3267742#2,897604#-0,9821834#0,2831548#3,012461#-0,9002426#0,3372567#2,965389#-0,9606305#0,3413262#3,042392#-0,7620811#0,4245312#3,079315#-1,082722#0,3810556#3,198176#-0,7363716#0,5848365#3,238794#-1,061821#0,5581942#3,294819#-0,8787795#0,3526741#3,314654#-0,8834239#0,2819669#3,29084#-0,8104736#0,2165167#3,255654#-0,9551385#0,2041464#3,303963#-0,8097409#-0,2434468#3,029918#-1,044581#-0,2592097#3,418579#-0,7801106#-0,5880193#2,901939#-0,8605961#-0,4922469#3,046709#-0,8008736#-0,6519582#2,852437#-0,8726388#-0,533143#2,973342#0  
frame9 #-0,9192104#0,901447#3,322181#-0,8783273#0,7164853#3,358403# -1,048104#0,3207885#3,169481#-0,9766199#0,2281656#3,068324#-0,9884428#0,3412332#3,16029#-0,9550518#0,2863782#3,098275#-0,8094597#0,4025672#3,145674#-1,047457#0,3733973#3,254221#-0,7559698#0,583281#3,269202#-1,079589#0,559808#3,381194#-0,8918515#0,3420576#3,373857#-0,90363#0,2687093#3,353639#-0,8384451#0,1960526#3,324435#-0,9776284#0,1873101#3,375445#-0,8112907#-0,2402324#3,103806#-1,0503#-0,2812632#3,471241#-0,7787333#-0,5890607#2,910052#-0,8613868#-0,4990059#3,096619#-0,803103#-0,6514657#2,848086#-0,8851849#-0,5398977#3,027571#0  
frame10 #-0,9269329#0,8791782#3,379652#-0,9143388#0,7218675#3,427149# -1,070662#0,3831971#3,229485#-0,8490383#0,4223796#3,119366#-1,005153#0,4008598#3,217244#-0,8274651#0,4806058#3,149325#-0,7848191#0,4820842#3,19646#-0,9473337#0,6148714#3,223815#-0,7798587#0,6054909#3,366748#-1,092645#0,5630468#3,436546#-0,9193869#0,3608234#3,470488#-0,9256315#0,2877486#3,458367#-0,8634831#0,2224168#3,462926#-0,9914703#0,2112069#3,459735#-0,8064148#-0,2367471#3,208048#-1,053412#-0,2676666#3,529729#-0,7895464#-0,5721703#2,997849#-0,8762659#-0,5007308#3,16297#-0,8197345#-0,6227853#2,919825#-0,8910971#-0,5440118#3,091303#0  
frame11 #-0,9391353#0,9229376#3,431023#-0,9300418#0,7534725#3,42596# -1,19912#0,5353148#3,287807#-0,7875016#0,6248633#3,19955#-1,061095#0,5582313#3,241142#-0,8682527#0,5995075#3,205242#-0,8105304#0,5982675#3,234826#-1,110506#0,5234399#3,235464#-0,757892#0,5771273#3,457711#-1,108348#0,5946518#3,435357#-0,9296551#0,3881226#3,527537#-0,9278218#0,309455#3,529487#-0,8459858#0,2266638#3,522371#-1,007783#0,2300093#3,56929#-0,8419672#-0,2081949#3,294779#-1,054088#-0,2662003#3,532042#-0,8157688#-0,5556366#3,179112#-0,877144#-0,4989998#3,165539#-0,8105428#-0,6039986#3,108536#-0,871918#-0,5473617#3,094962#0  
