frame1 #-0,482109#0,9286978#3,382514#-0,4872238#0,7509726#3,394119# -0,3512041#0,5907776#2,78849#-0,6347777#0,3068096#3,269508#-0,3380659#0,460005#3,137655#-0,6756253#0,2687159#3,352766#-0,3227848#0,3766142#3,397707#-0,6789113#0,3923751#3,514034#-0,360196#0,5646#3,372294#-0,6335292#0,6159602#3,427528#-0,4613489#0,3849257#3,403885#-0,4581257#0,3117694#3,39945#-0,3924736#0,2375416#3,392743#-0,5154735#0,2606537#3,403802#-0,1562227#-0,1373577#3,380953#-0,7711593#-0,2233801#3,378066#-0,01184309#-0,5082635#3,40887#-0,858876#-0,5636376#3,394416#-0,02935833#-0,5624565#3,315962#-0,8763912#-0,6178305#3,301508#1  
frame2 #-0,4819639#0,9281346#3,382837#-0,4839121#0,7508041#3,3912# -0,3507566#0,5887947#2,790474#-0,598721#0,2860488#3,24646#-0,3373521#0,5466303#2,970323#-0,6376325#0,2372778#3,323742#-0,3297593#0,42988#3,21565#-0,6803168#0,3936347#3,518186#-0,3604668#0,5659457#3,374225#-0,6335736#0,6120248#3,427297#-0,4611912#0,3827024#3,403844#-0,4582708#0,3086561#3,400171#-0,3929087#0,2364103#3,394411#-0,5161289#0,2553748#3,403759#-0,1559802#-0,1383821#3,380922#-0,7711844#-0,223302#3,378829#0,007981099#-0,5077885#3,414722#-0,8587462#-0,5633551#3,393508#-0,00874473#-0,5616262#3,32265#-0,8754721#-0,6171927#3,301436#1  
frame3 #-0,4802853#0,9258271#3,382614#-0,4827265#0,7480043#3,399758# -0,3508929#0,5847177#2,786102#-0,5422727#0,4741068#3,189483#-0,3369816#0,544427#2,971793#-0,5805942#0,4491107#3,277768#-0,33227#0,4286259#3,213948#-0,6822498#0,3923796#3,51966#-0,3492157#0,558701#3,377481#-0,6407989#0,6153558#3,441027#-0,4611278#0,3818254#3,405471#-0,4585204#0,3082029#3,400871#-0,3911005#0,2300669#3,396307#-0,5186764#0,2537467#3,403478#-0,1558923#-0,1382579#3,380928#-0,7711203#-0,2232173#3,379143#-0,005949697#-0,5075854#3,413791#-0,858202#-0,5630777#3,392912#-0,02224075#-0,5542994#3,333373#-0,8973779#-0,6252924#3,360734#1  
frame4 #-0,4777443#0,9256927#3,384741#-0,4825879#0,747354#3,400377# -0,3497684#0,5807487#2,786538#-0,6215544#0,2952375#3,257331#-0,3396501#0,5363224#2,983318#-0,6637199#0,2495088#3,334811#-0,3321223#0,4230902#3,224844#-0,6856909#0,3925284#3,523453#-0,3519556#0,5603018#3,379003#-0,6424327#0,6147395#3,441025#-0,4626048#0,3804182#3,406341#-0,4607639#0,3066776#3,401026#-0,3933959#0,2288707#3,397307#-0,5227352#0,2513509#3,401554#-0,1576649#-0,1396339#3,381522#-0,7726653#-0,2207393#3,376335#0,004174908#-0,5076551#3,415686#-0,8589124#-0,5664294#3,395815#-0,01224672#-0,5558128#3,332564#-0,875334#-0,614587#3,312693#1  
frame5 #-0,4816012#0,9199978#3,380126#-0,4826023#0,7477938#3,399776# -0,3489068#0,5787926#2,781139#-0,6267566#0,2956755#3,253886#-0,3431511#0,5152246#2,977009#-0,6697388#0,2500345#3,330752#-0,3331276#0,4245276#3,227894#-0,6879173#0,3920452#3,523711#-0,3578296#0,561422#3,381125#-0,642152#0,612011#3,43834#-0,463969#0,3782533#3,406135#-0,4627008#0,3035738#3,400175#-0,3960311#0,2276919#3,397485#-0,5238135#0,2492432#3,399936#-0,1580678#-0,1397303#3,381361#-0,7747638#-0,220039#3,374797#-0,008930441#-0,5081138#3,41643#-0,8609895#-0,5686526#3,391845#0,04014089#-0,5737599#3,396452#-0,8766507#-0,6176332#3,30696#1  
frame6 #-0,4812676#0,9199831#3,37991#-0,4809871#0,7487527#3,393639# -0,3488581#0,5787966#2,780897#-0,6263215#0,3009835#3,254868#-0,3361549#0,5405928#2,98097#-0,6693916#0,2560821#3,332081#-0,3343539#0,4307278#3,222102#-0,6958798#0,3871795#3,510262#-0,3579158#0,5609103#3,380836#-0,640112#0,6077892#3,427982#-0,464671#0,3782269#3,405323#-0,4631828#0,3034926#3,399765#-0,3971539#0,227819#3,398335#-0,5247102#0,249266#3,398119#-0,15859#-0,1403226#3,381169#-0,761611#-0,1718657#3,369183#0,002928801#-0,5294703#3,424241#-0,861936#-0,5690352#3,388124#0,05254158#-0,5881177#3,386758#-0,8749788#-0,6188633#3,301758#1  
frame7 #-0,4780558#0,9221994#3,380251#-0,4802977#0,7500325#3,392822# -0,34877#0,5789666#2,780875#-0,6225156#0,2958051#3,247141#-0,3323023#0,5404372#2,986336#-0,66574#0,2496266#3,32358#-0,3320611#0,4268948#3,226284#-0,6995558#0,3902239#3,515292#-0,3576804#0,5613176#3,380885#-0,6406656#0,607434#3,426711#-0,4652585#0,37859#3,404536#-0,4639876#0,3038826#3,39912#-0,3978772#0,228305#3,398302#-0,5262878#0,2493714#3,396518#-0,1600429#-0,1397071#3,381852#-0,7795949#-0,2227688#3,372077#-0,01096745#-0,5197713#3,427298#-0,8619003#-0,5685865#3,387984#0,04356305#-0,5775076#3,393387#-0,8746178#-0,6189109#3,300653#1  
frame8 #-0,4822683#0,9203267#3,378198#-0,4801886#0,7501266#3,392981# -0,3485291#0,5795575#2,781335#-0,6194785#0,2933086#3,24808#-0,3317955#0,5416927#2,984303#-0,6622002#0,2468214#3,324696#-0,3328456#0,4281848#3,224272#-0,7006726#0,3916839#3,517445#-0,3568341#0,5618225#3,380012#-0,6413785#0,6072468#3,425997#-0,4657223#0,3788111#3,404281#-0,4647013#0,3042678#3,398902#-0,398322#0,2285602#3,398445#-0,5277163#0,2493976#3,395638#-0,1603834#-0,1398864#3,381312#-0,7798939#-0,2214376#3,370815#0,006769673#-0,5120579#3,414301#-0,8624505#-0,5718771#3,37831#-0,006007056#-0,5627546#3,32625#-0,9113005#-0,6333743#3,340784#1  
frame9 #-0,4827023#0,9177896#3,375455#-0,4828931#0,7481486#3,391144# -0,3486432#0,580184#2,777853#-0,6213397#0,2943646#3,246495#-0,3313913#0,542866#2,983529#-0,6647221#0,247963#3,322741#-0,3328904#0,4288068#3,223268#-0,7021209#0,3942221#3,520023#-0,3570878#0,5617093#3,379783#-0,6414718#0,6073039#3,424769#-0,4665185#0,3779055#3,403554#-0,4651284#0,3035959#3,39869#-0,398663#0,2280491#3,398694#-0,5277783#0,2489742#3,395383#-0,1607952#-0,1394955#3,381087#-0,780004#-0,2210208#3,369289#0,007062464#-0,511426#3,413933#-0,8613332#-0,5696197#3,385896#-0,005532164#-0,5624962#3,325434#-0,8739278#-0,6206898#3,297397#1  
frame10 #-0,5298307#0,8971906#3,359636#-0,509486#0,7109998#3,387197# -0,08123286#0,3814404#2,842554#-0,6463201#0,2861213#3,2893#-0,1174034#0,4393103#2,913876#-0,6913489#0,2401718#3,364168#-0,236401#0,5141905#3,108049#-0,6911802#0,3694536#3,517335#-0,3746969#0,580963#3,310501#-0,6566285#0,5986062#3,4326#-0,4815559#0,3710073#3,407869#-0,4812208#0,3000057#3,406178#-0,4137881#0,2307011#3,401404#-0,5472985#0,2337767#3,417213#-0,1624137#-0,1418544#3,377543#-0,7829736#-0,201501#3,376429#0,008459797#-0,5237731#3,415805#-0,8607495#-0,5690753#3,387093#0,05654812#-0,5921966#3,390279#-0,8960153#-0,6216279#3,305994#1  
frame11 #-0,467904#0,8912477#3,402557#-0,488787#0,7074398#3,447372# -0,2295953#0,8560727#2,86866#-0,7057659#0,2172713#3,336265#-0,2137073#0,8094415#2,922638#-0,7284018#0,2638876#3,420467#-0,2198842#0,6896937#3,170726#-0,7352655#0,4061127#3,566802#-0,343834#0,5833768#3,40405#-0,6558725#0,5947591#3,427749#-0,4825855#0,3761934#3,43044#-0,4813525#0,3092451#3,419993#-0,4122401#0,2401886#3,416682#-0,5477699#0,2370902#3,418123#-0,162359#-0,1372087#3,379009#-0,7892944#-0,210057#3,381296#0,00974237#-0,5196742#3,414839#-0,8607755#-0,5688345#3,386192#0,0649334#-0,578884#3,381972#-0,865409#-0,6178474#3,295972#1  
