frame1 #-0,6404616#0,9344203#3,36706#-0,6307024#0,7539431#3,398252# -0,8498122#0,2187818#3,187499#-0,8313749#0,4007496#3,232082#-0,7494826#0,310434#3,154589#-0,817422#0,4969764#3,260527#-0,5943713#0,465244#3,178126#-0,9503778#0,5923857#3,378641#-0,4987094#0,6283922#3,306173#-0,8138491#0,6683665#3,46377#-0,5923217#0,4031132#3,435405#-0,5846456#0,3329473#3,44614#-0,5055406#0,2490117#3,427515#-0,6473534#0,2670001#3,477002#-0,489589#-0,2354259#3,20589#-0,7216421#-0,2082978#3,475184#-0,4944369#-0,573781#3,093961#-0,5273123#-0,5017704#3,133918#-0,4815597#-0,6101695#2,98447#-0,5804393#-0,5753149#3,031821#0  
frame2 #-0,640354#0,934741#3,368207#-0,6285228#0,7567049#3,401484# -0,8551092#0,3179376#3,196223#-0,9050934#0,3188094#3,27948#-0,8077944#0,3675511#3,173988#-0,8921563#0,3937195#3,340549#-0,6426704#0,4764704#3,18293#-0,9387437#0,548343#3,432223#-0,4924756#0,6361173#3,31373#-0,794606#0,6715722#3,467223#-0,5907761#0,4039086#3,439683#-0,5831823#0,3333698#3,450754#-0,5055822#0,2505289#3,430232#-0,6439783#0,267606#3,485307#-0,4793134#-0,2285583#3,212111#-0,7132103#-0,2178232#3,475289#-0,4427562#-0,5371265#3,169159#-0,6080703#-0,5661198#3,460754#-0,4393597#-0,6074337#3,055242#-0,5509458#-0,5818343#3,332801#0  
frame3 #-0,6352544#0,9357599#3,368689#-0,614812#0,7625443#3,398857# -0,8805071#0,4293723#3,124747#-0,7369419#0,2013455#3,364226#-0,8103969#0,4416979#3,123937#-0,7854339#0,2529619#3,371457#-0,6328394#0,5272626#3,137124#-0,8661843#0,4299337#3,353016#-0,4788299#0,6510589#3,32046#-0,7944911#0,6715287#3,466336#-0,5762467#0,4243987#3,442543#-0,5682993#0,3581743#3,455059#-0,4858513#0,2856988#3,443072#-0,634594#0,2837511#3,485406#-0,4427168#-0,2003849#3,239685#-0,701559#-0,2071018#3,479927#-0,3934083#-0,5309635#3,225629#-0,5974035#-0,5629527#3,463827#-0,3868946#-0,5989375#3,141975#-0,6520863#-0,6297461#3,488322#0  
frame4 #-0,6249088#0,9410443#3,369831#-0,5977855#0,7718432#3,393263# -0,8449756#0,5247028#3,165486#-0,8081163#0,2008082#3,447258#-0,805475#0,5370706#3,148585#-0,8455145#0,2905231#3,4703#-0,6113263#0,5934032#3,156286#-0,8696353#0,489976#3,506725#-0,4672968#0,6598047#3,327593#-0,7365945#0,70703#3,432568#-0,5666186#0,4249298#3,442148#-0,5596392#0,3569688#3,45512#-0,4844819#0,2845683#3,442543#-0,6136674#0,2934626#3,485967#-0,4274402#-0,2014131#3,246374#-0,689442#-0,1939013#3,484774#-0,3407465#-0,5331872#3,293366#-0,5889212#-0,5632899#3,493044#-0,3090409#-0,6009374#3,243577#-0,6485781#-0,629289#3,480417#0  
frame5 #-0,5803233#0,9681686#3,34571#-0,5660812#0,8090514#3,357452# -0,8627802#0,6071796#3,105674#-0,8205954#0,1816761#3,511975#-0,7969604#0,6158676#3,109024#-0,8439243#0,2748933#3,551828#-0,5995008#0,6419313#3,132626#-0,8504582#0,4740081#3,574391#-0,4500315#0,6648098#3,343259#-0,7467391#0,5900129#3,471756#-0,5453532#0,4268553#3,436761#-0,5398744#0,353521#3,453621#-0,4644794#0,2929172#3,445665#-0,596487#0,2696435#3,483773#-0,3743578#-0,197507#3,289701#-0,6851592#-0,189868#3,487893#-0,2585669#-0,5204723#3,304965#-0,5877777#-0,5637593#3,493812#-0,2453288#-0,6035693#3,273277#-0,6498034#-0,6270691#3,478673#0  
frame6 #-0,5827993#0,9485079#3,354518#-0,5712695#0,7813247#3,361222# -0,8340864#0,6913615#3,189154#-0,8213927#0,1660091#3,609442#-0,7692876#0,6924125#3,142216#-0,8266737#0,2469177#3,611758#-0,5691195#0,7037964#3,142686#-0,8105661#0,4459439#3,603005#-0,4460868#0,6645028#3,348116#-0,7273085#0,6369088#3,457838#-0,5416774#0,4283795#3,436521#-0,5339173#0,3575977#3,45378#-0,4600582#0,2959394#3,444265#-0,5880349#0,2806177#3,488706#-0,3329542#-0,1914113#3,320672#-0,6823478#-0,1823109#3,488111#-0,198934#-0,5428932#3,332061#-0,5918195#-0,5429343#3,486507#-0,1519009#-0,6047767#3,298859#-0,633691#-0,6160727#3,480054#0  
frame7 #-0,595597#0,9578439#3,342974#-0,5303756#0,8053213#3,369388# -0,8677037#0,7752274#3,217838#-0,7867779#0,1463366#3,721109#-0,7896046#0,7697716#3,150179#-0,8030095#0,2398546#3,679903#-0,5887437#0,7644464#3,120842#-0,7601708#0,4288506#3,625219#-0,4407309#0,6658943#3,351346#-0,7058553#0,6301084#3,468002#-0,5111133#0,4330645#3,436357#-0,507266#0,3593861#3,453219#-0,4438311#0,300356#3,438586#-0,5625438#0,2835992#3,491093#-0,289865#-0,1729335#3,339247#-0,6818027#-0,1670859#3,488575#-0,1440365#-0,5176508#3,353565#-0,5894302#-0,5439439#3,490119#-0,174274#-0,5702938#3,280489#-0,6310546#-0,6114094#3,474732#0  
frame8 #-0,5302664#0,8975365#3,282188#-0,5310864#0,7311792#3,386351# -0,7991483#0,840165#3,161753#-0,7677467#0,101263#3,783838#-0,7239222#0,8408018#3,160312#-0,7573086#0,1829533#3,742937#-0,4448787#0,8060869#3,161874#-0,7259943#0,4280241#3,633648#-0,4246994#0,6769142#3,357533#-0,6871892#0,6290317#3,466844#-0,5013119#0,4262361#3,435834#-0,4954167#0,3580632#3,450907#-0,4287014#0,3040213#3,43741#-0,5443631#0,2827999#3,482765#-0,2475917#-0,1540861#3,343719#-0,6748444#-0,1549333#3,486345#-0,107099#-0,5140512#3,388757#-0,5912354#-0,5415353#3,489146#-0,05563143#-0,5724871#3,380392#-0,62481#-0,6113994#3,477948#0  
frame9 #-0,4771713#0,8898162#3,243827#-0,5163258#0,7394497#3,396279# -0,7209317#0,9421121#3,144528#-0,7483134#0,145981#3,87812#-0,6543815#0,9109409#3,130945#-0,7357733#0,2174884#3,817338#-0,4322275#0,9020756#3,141508#-0,698153#0,4320106#3,648216#-0,3885897#0,7406778#3,363275#-0,6804626#0,6344329#3,475683#-0,4771023#0,4680998#3,435175#-0,470472#0,4137198#3,44494#-0,3986284#0,3690023#3,449279#-0,527072#0,32352#3,452508#-0,2236#-0,1481273#3,358012#-0,6615344#-0,1369399#3,485081#-0,02928723#-0,5273753#3,39817#-0,5904073#-0,5440141#3,485806#0,01988521#-0,5972925#3,356111#-0,6227975#-0,6131117#3,475341#0  
frame10 #-0,4826379#0,9388487#3,246141#-0,4474355#0,7721886#3,388183# -0,67801#0,9801655#3,17525#-0,719342#0,1767031#3,863438#-0,6118224#0,9491641#3,161741#-0,6983478#0,247217#3,803526#-0,3896684#0,9402988#3,172281#-0,6353652#0,4587588#3,63699#-0,3311299#0,7929412#3,349404#-0,6136419#0,6675753#3,470688#-0,4512219#0,4943565#3,425711#-0,4525457#0,4368141#3,437024#-0,3965254#0,3724336#3,447073#-0,5032093#0,3680106#3,441417#-0,1964759#-0,1318955#3,379146#-0,6445834#-0,1142405#3,477578#-0,1142623#-0,4327217#3,422781#-0,5898616#-0,5419578#3,482288#-0,03346065#-0,4957345#3,398395#-0,6275732#-0,6100326#3,484425#0  
frame11 #-0,4641764#1,014208#3,261325#-0,4478587#0,8269517#3,392835# -0,4435334#1,068953#3,157051#-0,684512#0,2074156#3,90043#-0,3774689#1,03801#3,143567#-0,6729462#0,2715808#3,831461#-0,2381755#0,9123991#3,252229#-0,6382489#0,4640765#3,637781#-0,2924708#0,7494705#3,399825#-0,6165193#0,6729534#3,471475#-0,4423774#0,4992411#3,429034#-0,4407129#0,4386899#3,440571#-0,3661331#0,368419#3,450166#-0,499888#0,366617#3,444713#-0,1568053#-0,15043#3,391012#-0,6476188#-0,1133374#3,475155#-0,07515827#-0,4510915#3,43299#-0,5897651#-0,5396059#3,481859#0,01223023#-0,5065016#3,407599#-0,6260087#-0,6095011#3,48349#0  
