frame1 #-0,866636#0,9691197#3,399207#-0,8217668#0,7918758#3,401264# -1,096902#0,439254#3,052037#-1,275918#0,4132586#3,454123#-1,004884#0,4686484#3,059224#-1,202826#0,4198371#3,472289#-0,7927122#0,5421188#3,106701#-0,9835504#0,4395727#3,542218#-0,7022914#0,6693361#3,318925#-0,9625522#0,7316003#3,546264#-0,7527717#0,3880861#3,410172#-0,7458327#0,3063892#3,408129#-0,6749104#0,2133329#3,354029#-0,7920278#0,2413518#3,459439#-0,5605435#-0,2035522#3,294089#-0,8332247#-0,2137734#3,43624#-0,4306906#-0,5460955#3,282618#-0,7326589#-0,5575663#3,447868#-0,4624003#-0,619999#3,204751#-0,7986034#-0,6198714#3,425889#0  
frame2 #-0,86485#0,9701672#3,396411#-0,8198708#0,7932743#3,398631# -1,091499#0,5339243#3,072296#-0,9136658#0,1466744#3,349658#-1,029092#0,5406319#3,055372#-0,9439521#0,2118721#3,416697#-0,8021694#0,5928094#3,095967#-0,9467789#0,417666#3,543402#-0,6990502#0,6711916#3,320224#-0,9606563#0,7329987#3,543631#-0,7578752#0,4004301#3,414197#-0,7532699#0,3230197#3,415555#-0,6909671#0,2551689#3,404948#-0,8078562#0,2819865#3,440302#-0,5449338#-0,2014207#3,298914#-0,8318263#-0,2132396#3,433715#-0,4087209#-0,536686#3,296378#-0,7327006#-0,5569949#3,444196#-0,4202136#-0,6110901#3,234316#-0,8038944#-0,6205418#3,42379#0  
frame3 #-0,8550167#0,9719571#3,397316#-0,8116947#0,8079241#3,384004# -1,125259#0,621753#3,073802#-0,8508594#0,2390986#3,223293#-1,031012#0,6235402#3,04679#-0,8810722#0,3041379#3,29017#-0,8019288#0,6306196#3,081735#-0,8823073#0,4930861#3,436165#-0,6916304#0,6782901#3,326418#-0,9524802#0,7476485#3,529004#-0,7532116#0,408848#3,412485#-0,7474957#0,3297863#3,415268#-0,6826293#0,2580121#3,406367#-0,7995104#0,287288#3,434391#-0,5035273#-0,1792645#3,32133#-0,8305203#-0,2106883#3,434751#-0,3673986#-0,5175687#3,339395#-0,7326699#-0,5568323#3,443656#-0,3637458#-0,6035343#3,310307#-0,8067652#-0,6197978#3,424145#0  
frame4 #-0,8498141#1,01708#3,406469#-0,7878943#0,8493615#3,359519# -1,116414#0,7125708#3,074384#-0,8347372#0,269063#3,210877#-1,024679#0,7027934#3,045382#-0,8645334#0,3332056#3,276832#-0,7959893#0,6842176#3,066422#-0,8657656#0,5217082#3,422106#-0,6901004#0,6784886#3,327198#-0,9286797#0,789086#3,504518#-0,7442142#0,4029575#3,410522#-0,7344658#0,3134844#3,417276#-0,6684127#0,2252051#3,415162#-0,7852939#0,2767845#3,432254#-0,4893585#-0,1807153#3,330191#-0,8298683#-0,1984275#3,434253#-0,3107975#-0,5302724#3,365415#-0,7319032#-0,5569847#3,442437#-0,3005508#-0,5965605#3,314922#-0,8113513#-0,6191361#3,421944#0  
frame5 #-0,8286398#0,9817656#3,403572#-0,7854722#0,8018725#3,366755# -1,105019#0,8083772#3,098564#-0,8191009#0,1436348#3,160848#-1,018501#0,7887012#3,059728#-0,8489426#0,2078752#3,226903#-0,7993875#0,7442579#3,06236#-0,8232808#0,357816#3,405483#-0,6796699#0,6703827#3,338053#-0,886987#0,572273#3,442099#-0,7311353#0,405558#3,410128#-0,7187587#0,3224161#3,416155#-0,6514181#0,2961697#3,408013#-0,7529868#0,2575552#3,430574#-0,4516416#-0,1966013#3,360942#-0,8304356#-0,1881601#3,432816#-0,2754418#-0,5101579#3,390873#-0,7332348#-0,5570047#3,439465#-0,2706943#-0,59273#3,322962#-0,8248616#-0,6228273#3,417442#0  
frame6 #-0,8174963#0,9551965#3,408721#-0,7985473#0,7569662#3,396137# -1,036637#0,8863679#3,082941#-0,8193512#0,1722459#3,133332#-0,9510406#0,8554343#3,05283#-0,8488887#0,2358314#3,198714#-0,7415613#0,7954295#3,09851#-0,8024009#0,3741681#3,375507#-0,6615075#0,6708378#3,358937#-0,878742#0,5757585#3,43866#-0,7184672#0,3716618#3,42247#-0,7055025#0,2953697#3,425268#-0,6447408#0,2632037#3,416678#-0,7405583#0,2198308#3,439708#-0,4311815#-0,1973206#3,379817#-0,8282353#-0,1824198#3,433328#-0,2453382#-0,5230408#3,392559#-0,7352054#-0,556394#3,438741#-0,2090041#-0,5974507#3,344537#-0,8240042#-0,6219394#3,416891#0  
frame7 #-0,795373#0,9360272#3,38539#-0,7676367#0,7656891#3,389952# -0,9769811#0,9696031#3,042251#-0,883649#0,1464159#3,592197#-0,9192284#0,9328449#3,047006#-0,8639303#0,212131#3,593558#-0,6946869#0,8397918#3,09849#-0,820339#0,3757498#3,43188#-0,6431414#0,6867055#3,354745#-0,8777996#0,5813409#3,451292#-0,699163#0,4684165#3,411545#-0,6888136#0,4079832#3,414392#-0,622412#0,3717565#3,400345#-0,7312333#0,3232791#3,432318#-0,4301478#-0,1504621#3,384518#-0,8232633#-0,172605#3,430992#-0,2349785#-0,5142816#3,398895#-0,7355531#-0,5563881#3,437538#-0,2639284#-0,5680939#3,318103#-0,8165261#-0,6204638#3,414985#0  
frame8 #-0,7689145#1,006793#3,374136#-0,7316182#0,835131#3,385555# -0,9093295#1,030279#3,063552#-0,8607586#0,2271866#3,616606#-0,8219154#0,9797987#3,055691#-0,8566536#0,3191393#3,599488#-0,5906327#0,8397558#3,150109#-0,8158472#0,4260564#3,438849#-0,6230807#0,7119907#3,357908#-0,8808139#0,623728#3,479947#-0,6782804#0,5530812#3,410098#-0,6695491#0,4961235#3,413873#-0,5991864#0,4556465#3,415229#-0,7173207#0,4132127#3,417834#-0,4167644#-0,08997628#3,395405#-0,8134812#-0,1535772#3,426961#-0,1785058#-0,5055005#3,413776#-0,7374216#-0,5568332#3,438164#-0,2125015#-0,5598668#3,334861#-0,8184888#-0,6216435#3,417849#0  
frame9 #-0,7287113#0,927297#3,380874#-0,6962035#0,7604089#3,413618# -0,5398175#1,138615#3,133015#-0,8591084#0,2718018#3,651544#-0,4757945#1,070256#3,124885#-0,8136489#0,2586869#3,600654#-0,3697883#0,8977976#3,251623#-0,750692#0,3977656#3,38094#-0,5370161#0,7074256#3,383162#-0,8303483#0,5823748#3,451519#-0,6085827#0,4548413#3,4144#-0,592311#0,3935985#3,412201#-0,4972911#0,3462491#3,411548#-0,6482484#0,3029602#3,407312#-0,3116742#-0,1679092#3,408308#-0,7829547#-0,1354852#3,426953#-0,247243#-0,4774215#3,442452#-0,7354041#-0,5546289#3,436196#-0,1456577#-0,5337878#3,430609#-0,8145264#-0,6226113#3,430614#0  
frame10 #-0,6071796#0,9089298#3,377632#-0,5901672#0,7349691#3,410033# -0,04100771#1,040961#3,392156#-0,9347498#0,08893926#3,654331#-0,04930892#0,9783549#3,413384#-0,8971594#0,1414232#3,637855#-0,1784287#0,7616184#3,481345#-0,8071653#0,3761623#3,525337#-0,4208536#0,6942204#3,440818#-0,7327003#0,5827118#3,42213#-0,5299667#0,4122326#3,432907#-0,5175816#0,347586#3,43555#-0,4335337#0,2899347#3,440343#-0,5741879#0,258784#3,435407#-0,2163384#-0,1605868#3,414246#-0,7329708#-0,1601691#3,429015#-0,1621439#-0,4650972#3,468934#-0,7327009#-0,5525237#3,434137#-0,06639241#-0,5263603#3,441746#-0,8312112#-0,615402#3,432481#0  
frame11 #-0,5213305#0,9309621#3,370101#-0,5163136#0,739314#3,410217# 0,1104977#0,7845029#3,552321#-0,9919611#0,1315686#3,567745#0,05781744#0,7450595#3,571095#-0,9371352#0,1927301#3,52501#-0,1424548#0,6846608#3,587524#-0,8022556#0,38679#3,483268#-0,3559575#0,6819091#3,475938#-0,6804867#0,5983005#3,414189#-0,4799578#0,417091#3,436539#-0,475123#0,3521838#3,440064#-0,3965642#0,2860997#3,455163#-0,5406473#0,2663237#3,431399#-0,171148#-0,1410938#3,398325#-0,7239089#-0,1619571#3,428904#-0,1631615#-0,4458952#3,46335#-0,7335684#-0,5507261#3,435143#-0,07008611#-0,5128559#3,440174#-0,7847943#-0,6193601#3,447016#0  
