frame1 #-0,5345193#0,938756#3,157257#-0,533102#0,7706755#3,243539# -0,3014127#0,70949#3,210849#-0,629162#0,4986282#2,710491#-0,2962863#0,6364402#3,221769#-0,6369384#0,5428545#2,769358#-0,280907#0,4172907#3,266319#-0,6602678#0,6755336#2,957751#-0,3628262#0,6615579#3,29322#-0,6360468#0,5385564#3,206409#-0,4951554#0,4660876#3,25169#-0,4856013#0,4055325#3,249505#-0,4153014#0,3653665#3,260104#-0,5382506#0,3100159#3,236742#-0,3487157#-0,2049015#3,388576#-0,5229138#-0,2581742#3,030644#-0,4588253#-0,5122765#3,545489#-0,5315129#-0,5742263#2,879746#-0,4780822#-0,5408508#3,431775#-0,5027527#-0,6230596#2,793354#0  
frame2 #-0,5022964#0,9136673#3,234036#-0,5106678#0,7297068#3,295073# -0,4581863#0,2034067#3,130793#-0,6044968#0,4152302#3,077154#-0,4159945#0,2480739#3,162567#-0,6152835#0,4850783#3,055679#-0,2852907#0,4017376#3,26518#-0,6476437#0,6946229#3,002154#-0,3543117#0,6692226#3,31836#-0,6348159#0,541851#3,211001#-0,4970569#0,4768839#3,277891#-0,4905192#0,4272875#3,271412#-0,4225844#0,3846903#3,287828#-0,5449877#0,3219664#3,240236#-0,3411943#-0,2101863#3,398299#-0,5190899#-0,2627857#3,063165#-0,4565#-0,5155821#3,558106#-0,5312399#-0,5742196#2,877059#-0,4754078#-0,5425765#3,445861#-0,5001109#-0,620873#2,792192#0  
frame3 #-0,4974328#0,8968984#3,245564#-0,5136682#0,7280784#3,306369# -0,4916621#0,2231798#3,159575#-0,6277445#0,5515955#3,279021#-0,4403738#0,2702081#3,185042#-0,6286045#0,5894442#3,212889#-0,2865091#0,411293#3,272863#-0,6311846#0,7029901#3,025914#-0,349175#0,6627406#3,327198#-0,6524723#0,5694245#3,276973#-0,5048236#0,5376979#3,318372#-0,5007207#0,5004261#3,311222#-0,4254887#0,4446963#3,326961#-0,5647326#0,4061872#3,283511#-0,3472939#-0,1390129#3,416845#-0,526637#-0,1667581#3,106634#-0,4545982#-0,5204158#3,574619#-0,5334786#-0,5617813#2,903273#-0,4654196#-0,5412454#3,460009#-0,5172573#-0,6107238#2,815578#0  
frame4 #-0,4923504#0,8909962#3,26638#-0,5128637#0,7273745#3,324283# -0,6107711#0,2132244#3,166138#-0,6069262#0,5724126#3,306999#-0,5310512#0,2613136#3,189762#-0,60948#0,6058626#3,241133#-0,2918918#0,4055814#3,272338#-0,6171412#0,7062126#3,055241#-0,3370776#0,666662#3,356243#-0,6225665#0,582323#3,290569#-0,5043914#0,5489572#3,332114#-0,5001746#0,5154994#3,326938#-0,430111#0,4658085#3,340633#-0,560091#0,433322#3,310972#-0,3481821#-0,1037672#3,428746#-0,5198877#-0,130171#3,151108#-0,454594#-0,5201921#3,57556#-0,5254729#-0,543155#2,953552#-0,4657017#-0,5392453#3,460469#-0,5038436#-0,5915782#2,86654#0  
frame5 #-0,5119897#0,9412801#3,224355#-0,5025628#0,7458192#3,322984# -0,5895886#0,2327936#3,164987#-0,5723314#0,6400804#3,352644#-0,5158629#0,290282#3,188766#-0,5785327#0,6555964#3,283328#-0,2946858#0,462747#3,271811#-0,5971366#0,7021446#3,087085#-0,3396304#0,6651729#3,36706#-0,6230284#0,5884396#3,289385#-0,5001832#0,5768209#3,348304#-0,4974384#0,5430498#3,348382#-0,4329312#0,491934#3,361649#-0,5601804#0,468908#3,350543#-0,3497199#-0,06328356#3,441444#-0,5213692#-0,07703376#3,183904#-0,4545962#-0,5201977#3,575543#-0,5275834#-0,5461147#2,966326#-0,4721072#-0,543124#3,463495#-0,5007045#-0,5967898#2,883671#0  
frame6 #-0,5176286#0,9242914#3,242122#-0,4871639#0,7317884#3,377887# -0,5547051#0,2991374#3,148999#-0,5848841#0,5417746#3,352628#-0,4847653#0,3457176#3,173922#-0,5872047#0,5777872#3,289787#-0,2749459#0,4854582#3,260526#-0,5941664#0,6858252#3,113096#-0,338718#0,6598535#3,37111#-0,6140051#0,5756898#3,342807#-0,4912108#0,5739634#3,380226#-0,4914012#0,5428425#3,372893#-0,4290631#0,4929784#3,383915#-0,5568521#0,465389#3,357292#-0,3478809#-0,05897593#3,449144#-0,5186081#-0,07549247#3,19325#-0,4514167#-0,52104#3,578836#-0,5157897#-0,5682415#3,01114#-0,4423563#-0,5678873#3,492351#-0,5038904#-0,6401789#2,930344#0  
frame7 #-0,5207418#0,9351266#3,238744#-0,4876053#0,7313444#3,380373# -0,4332243#0,3845031#3,160251#-0,5522119#0,6220971#3,372756#-0,4636303#0,3925077#3,157568#-0,5594413#0,636296#3,307835#-0,2867351#0,5052987#3,244027#-0,5811292#0,6788929#3,124543#-0,3383929#0,6613373#3,381435#-0,6055831#0,5707843#3,344265#-0,4903268#0,4934365#3,411979#-0,4891872#0,4454818#3,409897#-0,4313984#0,4029296#3,430015#-0,5472133#0,3588356#3,393309#-0,3318866#-0,1425429#3,468356#-0,501088#-0,1648574#3,198694#-0,4671279#-0,4856727#3,630755#-0,509919#-0,5438071#3,04604#-0,4616473#-0,5837756#3,644264#-0,4941542#-0,5940894#2,962565#0  
frame8 #-0,5126297#0,9130957#3,290278#-0,4809472#0,7316863#3,403037# -0,516182#0,4114346#3,078197#-0,5466827#0,6143143#3,390845#-0,4577776#0,4399039#3,111703#-0,5509292#0,6269176#3,326104#-0,2825645#0,5253118#3,223891#-0,5636687#0,6647276#3,143552#-0,3454625#0,6685289#3,40152#-0,615063#0,5745296#3,345231#-0,4591243#0,3976643#3,45121#-0,4534847#0,3301748#3,453485#-0,3869673#0,2832538#3,475944#-0,5118102#0,2413133#3,440581#-0,3186482#-0,2011755#3,48399#-0,4948722#-0,2314022#3,178285#-0,4567273#-0,5520926#3,632921#-0,5033594#-0,5485435#3,058086#-0,4348798#-0,6024039#3,551452#-0,4815119#-0,5988548#2,976617#0  
frame9 #-0,5083572#0,8937767#3,308088#-0,4787344#0,7305349#3,408041# -0,5307807#0,4947232#3,027717#-0,2471679#0,5872638#3,190207#-0,4684829#0,5062634#3,069868#-0,3101677#0,5651563#3,178744#-0,2815897#0,540884#3,208123#-0,5670399#0,5168733#3,135469#-0,3296762#0,6835315#3,396758#-0,6355141#0,6346558#3,336185#-0,4583285#0,3994102#3,453794#-0,4530143#0,3329549#3,457631#-0,3841691#0,2822015#3,479553#-0,5147144#0,2470781#3,448887#-0,3166694#-0,2028358#3,486565#-0,4898863#-0,2382185#3,192957#-0,4559792#-0,5440694#3,62634#-0,4939465#-0,5588013#3,099909#-0,4372742#-0,5918291#3,548754#-0,4808646#-0,6298041#3,042721#0  
frame10 #-0,4989069#0,9020492#3,357427#-0,4728797#0,7355053#3,433017# -0,5733406#0,5551881#3,014101#-0,3155429#0,6233024#3,173897#-0,5205748#0,5465762#3,056226#-0,3576066#0,5735277#3,108831#-0,2920951#0,570762#3,201761#-0,5794122#0,4837895#3,197187#-0,3229817#0,693616#3,410434#-0,6337044#0,6397048#3,349883#-0,4591533#0,4768763#3,471598#-0,4554855#0,4242277#3,473677#-0,3884#0,3608561#3,482655#-0,5156048#0,34315#3,47353#-0,3149403#-0,2061929#3,492994#-0,4919409#-0,1822902#3,233925#-0,4554028#-0,5451821#3,625962#-0,4910915#-0,5647433#3,116786#-0,4367251#-0,5932834#3,547757#-0,4724138#-0,6128446#3,038581#0  
frame11 #-0,4901966#0,9891617#3,369786#-0,4758341#0,8036345#3,387858# -0,6064206#0,6182415#3,00284#-0,2837507#0,6642126#3,168246#-0,4986502#0,619944#3,042826#-0,3516572#0,6407089#3,128713#-0,273683#0,6386978#3,191718#-0,5801993#0,5258363#3,206029#-0,3237741#0,7665067#3,364521#-0,5349639#0,7381768#3,215254#-0,4582282#0,4872649#3,458504#-0,4529632#0,4272716#3,469061#-0,4014199#0,3809119#3,478956#-0,4835075#0,3763689#3,457924#-0,3160213#-0,1893981#3,500557#-0,4867153#-0,1652325#3,24503#-0,4413599#-0,511484#3,574415#-0,489371#-0,5469666#3,168305#-0,4240263#-0,5821807#3,643744#-0,4835767#-0,6283059#3,095439#0  
