frame1 #0,1245561#0,9225573#3,363214#0,1642633#0,7307375#3,415939# 0,2978267#0,150588#3,23981#0,146748#0,5218359#3,216134#0,3296748#0,2177349#3,27616#0,09311396#0,5045373#3,239868#0,4252191#0,4191755#3,398047#-0,0677882#0,4526413#3,323907#0,2969695#0,6126935#3,346591#-0,01016872#0,6037068#3,443365#0,1539786#0,3909757#3,428739#0,1367618#0,3290207#3,386881#0,2010716#0,2609828#3,365255#0,06285945#0,2569388#3,393894#0,1674836#-0,2514692#3,126637#0,07388658#-0,2405871#3,552378#0,1869148#-0,5893643#3,071711#0,1150025#-0,4913854#3,222974#0,1508843#-0,6565852#3,038306#0,1086033#-0,5932068#3,17521#1  
frame2 #0,1244642#0,9230379#3,364551#0,1646136#0,7309463#3,416624# 0,2969793#0,1518878#3,242464#0,1468543#0,519392#3,208066#0,3297092#0,2193856#3,278853#0,09327765#0,5028197#3,233611#0,4278986#0,4218788#3,400972#-0,06745239#0,4531027#3,323195#0,2937266#0,6142039#3,347318#-0,009686993#0,6065737#3,446092#0,1546265#0,3891805#3,429859#0,1370366#0,3261121#3,388466#0,2006087#0,2587963#3,36694#0,06368077#0,2554376#3,395482#0,1674077#-0,2528665#3,126822#0,07373878#-0,2415181#3,553065#0,1859907#-0,5944118#3,070211#0,118553#-0,4896426#3,224732#0,1492454#-0,6630812#3,036073#0,09215624#-0,5323626#3,146272#1  
frame3 #0,1247122#0,9227059#3,360946#0,1662316#0,7315978#3,415326# 0,2966061#0,1506536#3,242404#0,148169#0,518453#3,207216#0,3294015#0,2184468#3,278821#0,09431829#0,5025005#3,233073#0,4277878#0,4218267#3,400994#-0,06723375#0,4546432#3,323562#0,2938647#0,6140571#3,347371#-0,008465014#0,608686#3,447799#0,1550219#0,3894013#3,429379#0,1371842#0,3262457#3,38827#0,2006499#0,2587529#3,366569#0,06401166#0,2559701#3,395961#0,1676161#-0,2522056#3,127167#0,07355516#-0,2428072#3,553081#0,1861561#-0,5929725#3,071829#0,1551149#-0,4706244#3,218043#0,148811#-0,6625954#3,035251#0,1344259#-0,5747325#3,167566#1  
frame4 #0,1246593#0,922752#3,361519#0,1661632#0,73145#3,415451# 0,2984328#0,14987#3,240023#0,1504548#0,5198684#3,207999#0,3308319#0,2178465#3,277026#0,09615099#0,5033633#3,232991#0,4280293#0,421776#3,401003#-0,06676036#0,453848#3,320933#0,2940664#0,61419#3,348154#-0,008299049#0,6084167#3,449067#0,155144#0,3882316#3,429748#0,1373721#0,3247329#3,389052#0,2009186#0,2570925#3,368327#0,06428915#0,2543758#3,39638#0,1677127#-0,2535929#3,12955#0,07362398#-0,2442519#3,554105#0,1856548#-0,5961298#3,073614#0,1276311#-0,4926786#3,22974#0,148662#-0,6634828#3,035566#0,1002128#-0,536209#3,150066#1  
frame5 #0,124606#0,9226769#3,361786#0,1664668#0,7313147#3,415283# 0,2981714#0,151046#3,24149#0,1506956#0,522067#3,209566#0,3309573#0,2190233#3,278374#0,0963463#0,5049235#3,234207#0,4293151#0,4229552#3,402021#-0,06670159#0,453493#3,321125#0,2917189#0,6149341#3,34861#-0,008283107#0,6050428#3,447751#0,1553299#0,3866467#3,429991#0,1376528#0,3225802#3,389784#0,2006313#0,2563529#3,370323#0,065179#0,2519299#3,396301#0,1677155#-0,2540426#3,129847#0,07364971#-0,2446323#3,554542#0,1848341#-0,5974401#3,073718#0,1350908#-0,4887136#3,228624#0,148614#-0,6645177#3,03569#0,1085555#-0,5310839#3,15111#1  
frame6 #0,1241447#0,9233693#3,363327#0,1666353#0,7314754#3,41545# 0,2975343#0,1510741#3,240752#0,1517555#0,5210064#3,210897#0,330452#0,2189293#3,277802#0,09720062#0,5041364#3,23532#0,4292048#0,4224949#3,40197#-0,06646401#0,4535266#3,321607#0,2922239#0,6151592#3,349039#-0,007903351#0,6039968#3,447317#0,1551987#0,386131#3,4303#0,1376455#0,3217651#3,39048#0,2006022#0,2558306#3,370925#0,0650346#0,2502798#3,397485#0,1671988#-0,2555611#3,131934#0,07360088#-0,2446867#3,554866#0,1837846#-0,5987499#3,073037#0,1566319#-0,4817905#3,228818#0,1480447#-0,6655176#3,034702#0,1297247#-0,525087#3,149591#1  
frame7 #0,1250949#0,9274717#3,371837#0,1669988#0,7318779#3,415563# 0,2967542#0,1507157#3,240372#0,1531295#0,5210695#3,212445#0,3298675#0,218714#3,277609#0,09810382#0,5044003#3,236464#0,4292075#0,4227091#3,40235#-0,06697328#0,4543926#3,321549#0,2924001#0,6153703#3,349288#-0,00601603#0,6109761#3,454555#0,1558276#0,3858919#3,430111#0,1374991#0,32137#3,390959#0,200179#0,2548862#3,371571#0,06489578#0,2503016#3,398084#0,1672318#-0,2560488#3,132043#0,07340725#-0,2442365#3,554897#0,1830028#-0,6041775#3,070725#0,1314061#-0,481691#3,22323#0,1463734#-0,6690184#3,036691#0,1029487#-0,5247834#3,144915#1  
frame8 #0,1249498#0,9270788#3,37135#0,1670024#0,7318691#3,415422# 0,2951927#0,1510121#3,240813#0,1541519#0,5206767#3,211647#0,3289023#0,2189094#3,278121#0,0989582#0,5039329#3,235585#0,4300312#0,4226013#3,40305#-0,06662288#0,4537015#3,320405#0,2932778#0,6155261#3,349624#-0,007350449#0,6087998#3,453704#0,1555345#0,3869599#3,42992#0,1374854#0,3231002#3,391065#0,2005212#0,2564742#3,371902#0,06454156#0,2512068#3,397931#0,1672847#-0,2560987#3,131916#0,0733502#-0,2441412#3,554862#0,1829306#-0,6047971#3,070742#0,1302201#-0,4829813#3,22424#0,1462929#-0,6692877#3,03708#0,1022238#-0,5260084#3,145916#1  
frame9 #0,1238218#0,9281763#3,373132#0,167046#0,7322454#3,415786# 0,2940656#0,1523868#3,238789#0,1549748#0,520385#3,21123#0,3282087#0,2201257#3,276566#0,09957805#0,5037724#3,235282#0,4306379#0,4233423#3,402876#-0,06661224#0,4539348#3,320418#0,291451#0,6158138#3,348778#-0,006311388#0,6117524#3,456679#0,1559656#0,387429#3,42968#0,1374913#0,3236256#3,391181#0,2001327#0,2571717#3,372001#0,0653722#0,25401#3,398419#0,1673862#-0,256449#3,131742#0,07342274#-0,2442971#3,554689#0,1829255#-0,6047621#3,070567#0,1284074#-0,4869321#3,226224#0,1458681#-0,6696263#3,036178#0,09971483#-0,5293358#3,149369#1  
frame10 #0,1242642#0,9281907#3,372689#0,1670799#0,7322874#3,415702# 0,2949921#0,1538459#3,235811#0,1574291#0,5194403#3,214559#0,3287363#0,2216716#3,274163#0,101433#0,503144#3,237748#0,4299687#0,4251486#3,402185#-0,06655532#0,4542553#3,32028#0,292136#0,616159#3,349935#-0,006067346#0,6127687#3,457122#0,1557548#0,3876196#3,429487#0,1374435#0,3238308#3,391185#0,2001092#0,2573417#3,372018#0,06522285#0,2542122#3,398399#0,1673861#-0,2569476#3,13162#0,07316577#-0,2433396#3,555083#0,1828509#-0,6050431#3,070549#0,1279696#-0,4870456#3,227198#0,1458777#-0,6696361#3,036149#0,09989987#-0,5288662#3,15133#1  
frame11 #0,12434#0,9284374#3,372823#0,1675285#0,733174#3,415713# 0,2894732#0,1594588#3,229749#0,1572195#0,5187451#3,213899#0,3244271#0,2259101#3,269577#0,1011842#0,5029919#3,237528#0,429289#0,4252642#3,402039#-0,0669218#0,4557324#3,321396#0,2931114#0,6166034#3,350523#-0,006176272#0,6123031#3,456517#0,1556566#0,3885262#3,429622#0,1375347#0,3247176#3,391522#0,2000322#0,2579359#3,371867#0,06527871#0,2545463#3,399172#0,1674142#-0,2570114#3,131655#0,07314254#-0,243459#3,556401#0,1829399#-0,6051819#3,071035#0,1277148#-0,4888702#3,229939#0,1462639#-0,6698318#3,035257#0,1003502#-0,5301648#3,154925#1  
