frame1 #0,1085291#0,9541351#3,405267#0,1366844#0,768316#3,437899# 0,3350308#0,2027296#3,239164#0,1412541#0,6293197#3,229393#0,2854133#0,2149496#3,28603#0,0864651#0,594843#3,250054#0,3977864#0,4365911#3,418926#-0,07790203#0,4914129#3,325291#0,274005#0,6590756#3,375837#-0,03276184#0,6575891#3,481447#0,1388634#0,4160484#3,45052#0,1238025#0,3503543#3,411338#0,1906499#0,280113#3,388285#0,0526048#0,2794442#3,420944#0,2033226#-0,2401453#3,252286#0,07708354#-0,247125#3,559218#0,1844566#-0,5970139#3,087231#0,1750827#-0,4874185#3,222149#0,1325892#-0,6660528#3,024247#0,1382344#-0,5456536#3,116973#1  
frame2 #0,1096151#0,9579791#3,40487#0,1368131#0,7683024#3,437565# 0,2496741#0,1436145#3,248282#0,1623144#0,5385234#3,19825#0,2867442#0,2175366#3,287183#0,1024638#0,527072#3,227397#0,3979545#0,4393031#3,417084#-0,07708784#0,4927178#3,328038#0,2740358#0,6590884#3,375553#-0,03287468#0,657598#3,481175#0,1391515#0,4164095#3,45029#0,1241624#0,3508273#3,411167#0,191253#0,2807029#3,388587#0,05284452#0,2798132#3,420536#0,2028722#-0,2398818#3,252084#0,07718948#-0,2476286#3,55941#0,1844888#-0,5968391#3,086757#0,1169118#-0,4973382#3,216904#0,137166#-0,6596197#3,028464#0,08318241#-0,5506748#3,120594#1  
frame3 #0,1095284#0,9571654#3,404139#0,1367415#0,7683554#3,436758# 0,2909051#0,1995451#3,258463#0,1608199#0,5397086#3,197197#0,300464#0,2684309#3,301086#0,1015086#0,5279097#3,226556#0,3988634#0,4433416#3,418349#-0,07642506#0,4925131#3,327814#0,2737438#0,6588589#3,374476#-0,03364864#0,6564323#3,479978#0,1391384#0,4166618#3,450032#0,1242111#0,3510413#3,411028#0,1913849#0,2811522#3,38882#0,05288932#0,2799915#3,420226#0,2026927#-0,2396162#3,251886#0,07820053#-0,249625#3,559496#0,1840749#-0,5958134#3,088064#0,1996978#-0,5228561#3,178451#0,135032#-0,6621026#3,026752#0,1542877#-0,6080885#3,078449#1  
frame4 #0,1083442#0,9565228#3,404578#0,1369588#0,7682561#3,435557# 0,3265359#0,2157756#3,23858#0,1586108#0,5419642#3,195349#0,2864922#0,2240024#3,290962#0,09985537#0,5296251#3,225214#0,3986581#0,4440081#3,418549#-0,07641099#0,4926075#3,327984#0,273118#0,6588729#3,373691#-0,03366267#0,656378#3,479943#0,1392265#0,41683#3,449723#0,1242531#0,3511087#3,410979#0,1913795#0,281598#3,389475#0,05304358#0,2802054#3,420006#0,202393#-0,2394129#3,2517#0,078571#-0,2535919#3,560935#0,1836547#-0,5958844#3,087575#0,2106457#-0,5354618#3,164732#0,134031#-0,661017#3,031758#0,1581342#-0,6152042#3,070608#1  
frame5 #0,1081401#0,9543012#3,401884#0,1370676#0,7676388#3,435437# 0,2881086#0,2128157#3,266975#0,1537259#0,5390719#3,190938#0,3125046#0,2894108#3,312002#0,0962503#0,5277848#3,223138#0,3987087#0,4443994#3,418759#-0,0761764#0,4939234#3,332919#0,2731168#0,6588928#3,373713#-0,03360409#0,6562684#3,479983#0,1391861#0,4167899#3,449579#0,1242602#0,3510832#3,411033#0,1913619#0,2815973#3,389666#0,05306575#0,2801566#3,419975#0,2023016#-0,2391826#3,25143#0,07874604#-0,2522912#3,561105#0,1830915#-0,5961823#3,086872#0,2004544#-0,5543324#3,15907#0,1322118#-0,6637198#3,032716#0,1483217#-0,6300775#3,059065#1  
frame6 #0,107775#0,9542308#3,401557#0,136184#0,7686295#3,433947# 0,2916255#0,1856224#3,255349#0,1532755#0,5462567#3,193404#0,2946238#0,2461264#3,287128#0,09596469#0,5332045#3,22481#0,3977523#0,4458148#3,417542#-0,07596779#0,4940478#3,332208#0,2729118#0,6588093#3,373597#-0,03393617#0,6559959#3,479792#0,1390491#0,4171388#3,44919#0,1242741#0,3511711#3,411016#0,1914174#0,2817119#3,389743#0,053106#0,2802183#3,419978#0,2017472#-0,239571#3,253227#0,0783802#-0,2531215#3,562011#0,1828164#-0,59556#3,086962#0,1890568#-0,5475417#3,165241#0,1326934#-0,6633983#3,033674#0,1487574#-0,6280501#3,064669#1  
frame7 #0,1056798#0,9523546#3,396463#0,1362159#0,768671#3,431032# 0,326498#0,1842086#3,254852#0,1546377#0,5486534#3,192127#0,2889207#0,231344#3,284415#0,09743044#0,5347559#3,223047#0,3985495#0,4474229#3,416537#-0,07419147#0,4930634#3,329027#0,272563#0,6588073#3,373625#-0,03394367#0,6546234#3,479113#0,1386569#0,4160128#3,448565#0,1240725#0,3490471#3,411409#0,1910448#0,2802243#3,390468#0,05308356#0,2774574#3,421085#0,2013802#-0,2393707#3,253097#0,07821215#-0,252497#3,562156#0,1827818#-0,5954698#3,087588#0,2014884#-0,5393492#3,17494#0,1323445#-0,6635495#3,033559#0,1561255#-0,6194928#3,074925#1  
frame8 #0,1063169#0,9503499#3,39397#0,1361382#0,7685702#3,431057# 0,2903305#0,1929595#3,257757#0,1534315#0,5491832#3,192079#0,2980372#0,2516533#3,290359#0,09646607#0,5351516#3,223105#0,4001344#0,449686#3,416506#-0,07443025#0,4930566#3,329435#0,2724512#0,6584808#3,373324#-0,03408399#0,6542935#3,479803#0,1382207#0,4152447#3,448086#0,1236614#0,3480524#3,411624#0,190552#0,2790103#3,390827#0,05264062#0,276522#3,421339#0,2008146#-0,2394308#3,253409#0,07774486#-0,2539527#3,563634#0,1827867#-0,5951518#3,087257#0,2018377#-0,5412681#3,164615#0,1314715#-0,6647692#3,033147#0,1348395#-0,6338332#3,087196#1  
frame9 #0,1055929#0,9492222#3,393944#0,1365117#0,76824#3,430871# 0,2918648#0,1956438#3,261236#0,1546073#0,5551786#3,19843#0,2994105#0,2556631#3,293693#0,09732921#0,5395774#3,2279#0,4005032#0,449562#3,414464#-0,07450493#0,4927737#3,32959#0,2717773#0,6587228#3,37303#-0,034392#0,6541796#3,480822#0,1380752#0,4138995#3,447826#0,123409#0,3462654#3,412235#0,1900413#0,2773698#3,391441#0,05234645#0,274591#3,422403#0,1997136#-0,240821#3,258929#0,07731299#-0,2534549#3,563754#0,1827419#-0,5948791#3,087613#0,2027723#-0,5420233#3,157987#0,1309409#-0,665516#3,032653#0,1473058#-0,6236408#3,05881#1  
frame10 #0,1044041#0,9491932#3,393097#0,1365725#0,7683482#3,431064# 0,2914203#0,1956633#3,260038#0,1281661#0,5556009#3,186115#0,2996148#0,2570247#3,293888#0,0779968#0,5378978#3,225268#0,4002582#0,4518024#3,413167#-0,07251111#0,4847886#3,356021#0,2714003#0,6587186#3,373202#-0,03446904#0,6542741#3,481079#0,1377744#0,4139965#3,447694#0,123217#0,3463148#3,412755#0,1894469#0,277721#3,392534#0,05227757#0,274624#3,422729#0,1993032#-0,2409959#3,258764#0,07695163#-0,2543647#3,563948#0,1811192#-0,5952029#3,085663#0,2199373#-0,5470322#3,163648#0,1306774#-0,6661975#3,032672#0,1428463#-0,6333392#3,088607#1  
frame11 #0,1035948#0,9482651#3,390843#0,1372316#0,7693824#3,428792# 0,2917983#0,1976404#3,261687#0,1393164#0,5494189#3,194743#0,2998704#0,2617783#3,293703#0,08472434#0,5346702#3,228616#0,4006689#0,453326#3,415525#-0,07905196#0,4904242#3,343552#0,271445#0,6585604#3,373356#-0,03451521#0,6545674#3,481488#0,1374324#0,4144258#3,446959#0,1230603#0,3464997#3,412857#0,1891372#0,2776188#3,393064#0,05188113#0,2754901#3,422611#0,1985139#-0,2405885#3,258954#0,07678629#-0,2550088#3,564944#0,1808017#-0,5955216#3,085135#0,2228207#-0,5472057#3,162835#0,1305738#-0,6660872#3,033736#0,1688609#-0,6272785#3,066684#1  
frame12 #0,1030273#0,9473648#3,390513#0,137638#0,7690635#3,428763# 0,29135#0,2183724#3,270783#0,1390895#0,5478315#3,194424#0,3173975#0,3016596#3,31342#0,08456609#0,5336003#3,22834#0,4009677#0,456498#3,416029#-0,0790042#0,4909069#3,343413#0,2714655#0,6585947#3,373363#-0,03492185#0,6545135#3,481912#0,1372355#0,4145052#3,446382#0,1230308#0,3466189#3,412993#0,1891181#0,277508#3,393382#0,05169749#0,2758256#3,422693#0,1977833#-0,241096#3,258568#0,07648797#-0,2543375#3,565035#0,180371#-0,5956736#3,084969#0,2245791#-0,5475909#3,16256#0,1308323#-0,6660428#3,034657#0,1669027#-0,6238574#3,067448#1  
frame13 #0,1022129#0,942495#3,388975#0,1367591#0,7661376#3,430465# 0,2905477#0,2158368#3,282583#0,1435105#0,5487444#3,20198#0,316491#0,3047038#3,31072#0,08791827#0,5343456#3,23377#0,400405#0,4565075#3,417278#-0,07885838#0,4911493#3,342479#0,2712037#0,6583814#3,373205#-0,03515977#0,6536096#3,481596#0,1369725#0,4142515#3,446182#0,122985#0,3465995#3,413156#0,1890527#0,2773585#3,39353#0,05170819#0,2758777#3,42281#0,1972598#-0,240881#3,258594#0,07653984#-0,2550629#3,56621#0,1804193#-0,5958096#3,085498#0,2299414#-0,5752394#3,186803#0,1313346#-0,6652477#3,035205#0,1256562#-0,6561058#3,165564#1  
frame14 #0,1000314#0,9456754#3,388492#0,1377829#0,768563#3,430333# 0,2860169#0,1809155#3,270171#0,1423671#0,5480294#3,201287#0,2959979#0,2618589#3,301272#0,08713762#0,5337452#3,233605#0,4013725#0,4551872#3,418101#-0,0785509#0,4908926#3,343895#0,2711775#0,6584177#3,373222#-0,03536394#0,6549234#3,484022#0,1369877#0,4147992#3,445632#0,12285#0,3470455#3,413101#0,1889185#0,2775175#3,393541#0,05143977#0,2767445#3,422612#0,1968206#-0,2411947#3,259083#0,07628381#-0,2555201#3,566387#0,1805103#-0,5957959#3,085651#0,2302404#-0,5696172#3,180343#0,1328804#-0,6644415#3,034591#0,1675734#-0,6312917#3,081251#1  
frame15 #0,09682526#0,9449222#3,384632#0,1376182#0,7685102#3,430328# 0,2841383#0,1857287#3,266764#0,1436462#0,5463924#3,201562#0,2962249#0,2616773#3,300685#0,08829179#0,5326584#3,233779#0,3999006#0,4563431#3,417643#-0,07777148#0,4914564#3,343778#0,2700857#0,6581419#3,373069#-0,03667125#0,6558509#3,487273#0,1368108#0,4148358#3,445283#0,1224506#0,3470894#3,413299#0,1883692#0,2772832#3,393661#0,0510166#0,2770285#3,423015#0,1951679#-0,2421595#3,259609#0,07625276#-0,2555933#3,566482#0,180586#-0,5957577#3,085719#0,2298247#-0,5672144#3,177004#0,1333415#-0,6635039#3,034564#0,1617437#-0,6302085#3,083874#1  
frame16 #0,09527186#0,9445189#3,384966#0,1366788#0,7666194#3,431831# 0,2839867#0,1855749#3,267221#0,1437734#0,5446923#3,201861#0,2992356#0,2673796#3,299829#0,08820458#0,5315429#3,233803#0,3996301#0,4557634#3,417555#-0,07850176#0,4920946#3,342984#0,2694072#0,6578584#3,372368#-0,03805021#0,6538689#3,486129#0,1360711#0,4133703#3,445501#0,1219056#0,3458292#3,413594#0,1880344#0,2766944#3,393709#0,05031546#0,274286#3,423304#0,1949183#-0,2418641#3,258968#0,07630155#-0,2560047#3,567054#0,1810454#-0,5954729#3,086031#0,2300853#-0,5669357#3,17615#0,1339762#-0,6626589#3,035298#0,1528828#-0,6341696#3,095226#1  
frame17 #0,09374941#0,9463295#3,384864#0,1367299#0,7667639#3,431977# 0,2836541#0,1853255#3,267093#0,1432472#0,5440224#3,199929#0,2950968#0,2580732#3,294761#0,08783329#0,5311058#3,232123#0,3989937#0,4548408#3,416394#-0,07840853#0,4923556#3,342068#0,2688088#0,657513#3,371811#-0,03824644#0,6538384#3,486448#0,1359629#0,413605#3,445266#0,1217066#0,3461536#3,413528#0,1876399#0,2767069#3,393206#0,05010081#0,2751223#3,423465#0,1946824#-0,241591#3,259071#0,07564744#-0,255175#3,567362#0,1811773#-0,5956132#3,086228#0,2297787#-0,5654993#3,175299#0,1344456#-0,6619214#3,035194#0,153277#-0,6331577#3,095408#1  
frame18 #0,09287196#0,947945#3,383349#0,1357456#0,7679905#3,431993# 0,3149814#0,1794933#3,284259#0,1407434#0,54355#3,195457#0,2910531#0,2451957#3,286534#0,08593811#0,5308646#3,228662#0,3993058#0,4569066#3,417186#-0,0784778#0,4928083#3,341641#0,2683025#0,6577631#3,370202#-0,03833621#0,6540244#3,486329#0,1357442#0,4141299#3,445067#0,1214891#0,3465564#3,413556#0,1875405#0,2767871#3,393267#0,04997829#0,2761361#3,423373#0,1945785#-0,2416136#3,259053#0,07564041#-0,2553104#3,567614#0,1820729#-0,5950712#3,087104#0,2315093#-0,5617119#3,172351#0,1351794#-0,6606072#3,03618#0,16485#-0,6220589#3,079893#1  
frame19 #0,09162386#0,9437683#3,389598#0,1353427#0,7678103#3,432384# 0,2815638#0,1841548#3,265338#0,1403894#0,5450699#3,191749#0,285146#0,2532286#3,288855#0,08603371#0,5320569#3,225461#0,3995863#0,4568016#3,416613#-0,07703329#0,4930179#3,339967#0,2672792#0,6576077#3,370241#-0,03858459#0,6526881#3,485348#0,1354132#0,4137184#3,444956#0,1212712#0,3461016#3,413448#0,1873199#0,276423#3,393136#0,04993056#0,2758936#3,42321#0,194225#-0,2414887#3,258999#0,07525387#-0,2549084#3,567882#0,1817407#-0,593671#3,087979#0,234273#-0,5645718#3,176058#0,1365926#-0,659233#3,036465#0,1664684#-0,6242951#3,084997#1  
frame20 #0,08984152#0,9440153#3,388022#0,1350694#0,767787#3,432298# 0,2866282#0,2252855#3,276328#0,138638#0,5448089#3,189598#0,3121839#0,3091849#3,310937#0,08477035#0,5319304#3,223979#0,4001148#0,4600919#3,412295#-0,07683262#0,4932951#3,340491#0,2669826#0,6576645#3,370282#-0,03970288#0,6526217#3,485065#0,1351948#0,4141167#3,444555#0,1211741#0,346711#3,412977#0,1873842#0,2767574#3,39223#0,04987153#0,2763157#3,422959#0,1940249#-0,2413948#3,259413#0,07508758#-0,2557587#3,569367#0,1812496#-0,5939412#3,087711#0,2353837#-0,5571234#3,170749#0,1365936#-0,6586195#3,035288#0,1672195#-0,6209725#3,083486#1  
frame21 #0,08970778#0,9453041#3,389164#0,133249#0,7680823#3,430129# 0,2786449#0,2064466#3,260659#0,1351476#0,5420657#3,195243#0,3074409#0,2882812#3,295195#0,08040683#0,5301164#3,228393#0,3985181#0,4604715#3,405365#-0,08381535#0,4942684#3,341222#0,2650758#0,6573277#3,37031#-0,0397447#0,6525148#3,48523#0,134791#0,4136964#3,443262#0,1209447#0,346016#3,411994#0,1870369#0,2762794#3,391162#0,05010356#0,2759282#3,422415#0,193775#-0,2412648#3,259259#0,07505203#-0,2557115#3,569426#0,181361#-0,5943752#3,087775#0,2359494#-0,5524545#3,166871#0,1366877#-0,6582589#3,035253#0,1682083#-0,6210035#3,083897#1  
frame22 #0,08961446#0,9458089#3,388355#0,130765#0,768276#3,429693# 0,2811451#0,2333566#3,267287#0,1333762#0,5393961#3,203293#0,3107463#0,31464#3,304599#0,07768582#0,5283689#3,234951#0,4008607#0,4653745#3,402744#-0,08938524#0,4952875#3,343302#0,263843#0,6574153#3,369302#-0,04028066#0,6520563#3,486732#0,1347643#0,4137731#3,441117#0,1210903#0,346206#3,409267#0,1878947#0,2769779#3,386591#0,05081583#0,2759268#3,419641#0,1935827#-0,2411989#3,259348#0,07502374#-0,2555793#3,569545#0,1801666#-0,5963077#3,087141#0,235822#-0,5504569#3,165013#0,1356442#-0,6595842#3,034283#0,1608353#-0,6229721#3,092971#1  
frame23 #0,08547939#0,9466842#3,387943#0,1286157#0,7695103#3,428747# 0,3365342#0,2243561#3,250449#0,1288434#0,5360496#3,204459#0,2825259#0,2564385#3,280062#0,0737716#0,5262727#3,237376#0,4010132#0,4665019#3,399377#-0,0914439#0,496942#3,349502#0,2598944#0,658704#3,369618#-0,04036901#0,650587#3,488144#0,1360718#0,4112085#3,438018#0,123125#0,3422625#3,404799#0,1901006#0,2756905#3,383261#0,05454068#0,2708986#3,413709#0,1934762#-0,241248#3,259387#0,07465351#-0,2553168#3,569698#0,1801238#-0,596299#3,087375#0,2355914#-0,5501339#3,164684#0,1347756#-0,6595131#3,035697#0,1603812#-0,6226072#3,093562#1  
frame24 #0,08118685#0,9496157#3,395616#0,1258085#0,7706187#3,431285# 0,2717242#0,294571#3,254741#0,1236351#0,5442485#3,211846#0,3188424#0,3192256#3,299311#0,06967674#0,5314973#3,245338#0,4042646#0,4732625#3,39478#-0,09219848#0,4932436#3,359197#0,2550121#0,6604885#3,368843#-0,04050153#0,6490949#3,489388#0,1367474#0,4073424#3,437748#0,1236771#0,3368673#3,403345#0,1903074#0,2754409#3,382177#0,0572246#0,2588054#3,411825#0,1935706#-0,2415468#3,256326#0,07397727#-0,2532805#3,56996#0,1796579#-0,5963149#3,087005#0,2337217#-0,5466528#3,167547#0,134614#-0,6597294#3,036116#0,1584822#-0,6238849#3,102821#1  
frame25 #0,07873572#0,9544566#3,401986#0,125279#0,7761686#3,435993# 0,2595281#0,2945162#3,25053#0,07032969#0,675344#3,307199#0,3065608#0,3191261#3,295018#0,02922631#0,6273604#3,320784#0,402318#0,4676221#3,388217#-0,09408383#0,4834097#3,374941#0,2526247#0,6625396#3,368679#-0,04232486#0,6439254#3,496871#0,1380395#0,4069838#3,438655#0,1237321#0,3367893#3,40352#0,1903014#0,27519#3,382394#0,05756035#0,2596635#3,411674#0,1948005#-0,241358#3,254214#0,07353464#-0,2526831#3,571898#0,179205#-0,5967017#3,086747#0,2321258#-0,543617#3,166356#0,1349972#-0,6599128#3,035473#0,1707701#-0,6133363#3,082225#1  
frame26 #0,07218047#0,9562851#3,409715#0,1243473#0,7772113#3,438324# 0,2481944#0,220558#3,236087#0,1108964#0,5917574#3,236936#0,2807139#0,2771156#3,273111#0,06105687#0,5674221#3,269975#0,4063361#0,4719267#3,382323#-0,08846171#0,4944161#3,382514#0,2470251#0,6619834#3,366279#-0,03737004#0,649238#3,513407#0,1395544#0,4061459#3,440656#0,1225102#0,3356262#3,405724#0,1866341#0,2756464#3,381478#0,05819439#0,2575447#3,420881#0,1960483#-0,240857#3,249636#0,06740472#-0,261837#3,590706#0,1792213#-0,5965528#3,086415#0,2284719#-0,5364314#3,173268#0,1357744#-0,6596652#3,034831#0,1681357#-0,6085247#3,090935#1  
frame27 #0,05901843#0,9338049#3,441496#0,1228996#0,7148536#3,445985# 0,2567051#0,2656488#3,248365#0,1084922#0,5876588#3,237065#0,2892246#0,3222063#3,285389#0,05936772#0,5648355#3,27223#0,4045488#0,4702871#3,379979#-0,0880056#0,4963656#3,391151#0,2418421#0,6615282#3,367916#-0,03094468#0,653444#3,539642#0,1408579#0,3832866#3,450956#0,1209058#0,3199047#3,416496#0,1804058#0,2685889#3,390178#0,06166744#0,2461014#3,429441#0,1976783#-0,2407071#3,242136#0,06381968#-0,2678795#3,618896#0,1806711#-0,5958207#3,087828#0,2201439#-0,5258667#3,187373#0,1367346#-0,6581479#3,036093#0,1583767#-0,6044016#3,112803#1  
frame28 #0,04610204#0,931535#3,454012#0,1197341#0,712458#3,45122# 0,2557247#0,2437908#3,247479#0,08019152#0,595719#3,290757#0,2885642#0,3230253#3,285039#0,03235528#0,5681102#3,32429#0,4012375#0,47158#3,375353#-0,1111534#0,4852839#3,438317#0,2320665#0,6641899#3,375546#-0,03077434#0,6539317#3,551058#0,1406814#0,3769456#3,459161#0,1202971#0,3122658#3,426786#0,1772841#0,2648332#3,400034#0,06485058#0,2366347#3,441856#0,2006973#-0,2404284#3,242637#0,05944023#-0,2734306#3,627486#0,1810156#-0,5955089#3,088619#0,2128882#-0,518113#3,185965#0,137313#-0,65747#3,036577#0,1584609#-0,598811#3,108463#1  
frame29 #0,04342205#0,9293252#3,466301#0,1140078#0,7096203#3,473392# 0,2343773#0,1991884#3,239714#0,08773347#0,5898111#3,299147#0,2622261#0,280831#3,275549#0,03744019#0,5609856#3,327448#0,3969584#0,4700167#3,371836#-0,1134397#0,4745088#3,425782#0,2251844#0,6596233#3,382416#-0,02887048#0,618718#3,549634#0,1432218#0,3691713#3,46898#0,1230082#0,3049818#3,434237#0,1793088#0,2535982#3,406738#0,06900915#0,2336484#3,447662#0,2017692#-0,2420239#3,247765#0,05183488#-0,2759132#3,646121#0,1827699#-0,5946209#3,091458#0,2033878#-0,507409#3,199513#0,1388483#-0,655776#3,039201#0,1584099#-0,5880239#3,116726#1  
