frame1 #0,2058166#0,9851427#3,395185#0,1513311#0,7728003#3,448486# 0,09704655#0,6138858#3,257738#0,1985331#0,600561#3,294401#0,1569147#0,5851375#3,276902#0,09564102#0,593348#3,288947#0,3365192#0,4988926#3,348172#-0,07030099#0,4690485#3,30647#0,3194141#0,6993902#3,532698#-0,02614432#0,6766253#3,428238#0,1254194#0,4144669#3,460118#0,1284544#0,343888#3,438393#0,2019435#0,2691123#3,452659#0,04644223#0,2588681#3,415233#0,1772131#-0,2477498#3,246713#0,06038673#-0,2397024#3,414985#0,1372114#-0,5967906#3,064223#0,119875#-0,6222951#3,041176#0,1585109#-0,6341883#2,997267#0,09528796#-0,685024#3,035023#1  
frame2 #0,2064451#0,9888956#3,404232#0,1502111#0,7727974#3,44764# 0,4396459#0,689558#3,244283#0,232534#0,4737479#3,26721#0,3644164#0,6782472#3,237564#0,1314933#0,4588657#3,251542#0,3342923#0,4996658#3,350052#-0,07038905#0,4688503#3,306377#0,3199298#0,6960811#3,530925#-0,02631984#0,6768043#3,428633#0,1255027#0,4145173#3,460013#0,1284401#0,3439095#3,438386#0,2020625#0,2688181#3,45279#0,04642676#0,2590558#3,415096#0,1762686#-0,2482722#3,246556#0,06746793#-0,242759#3,408474#0,13321#-0,5995865#3,059198#0,2564379#-0,6335026#3,453929#0,1577917#-0,6436287#2,980259#0,2237665#-0,6934667#3,412977#1  
frame3 #0,2032779#0,9898991#3,406861#0,1501438#0,7722965#3,448884# 0,1159237#0,6520005#3,267833#0,231199#0,4768546#3,277923#0,1700638#0,6139513#3,285092#0,1312318#0,4589002#3,258514#0,332484#0,4998036#3,350663#-0,07051461#0,4692225#3,308124#0,3192714#0,6935512#3,52943#-0,02616695#0,6770977#3,429051#0,1249481#0,4140517#3,460242#0,1277304#0,3434511#3,438385#0,2009673#0,2678788#3,452181#0,0459346#0,2592942#3,415041#0,1757683#-0,2477731#3,245311#0,06789901#-0,2449621#3,407436#0,1309254#-0,6000558#3,05934#0,2534535#-0,6180423#3,438534#0,157419#-0,6481258#2,972928#0,2516037#-0,7013972#3,463437#1  
frame4 #0,1984039#0,9646288#3,415903#0,1505355#0,772727#3,449231# 0,4403274#0,7213913#3,339075#0,2653796#0,4635029#3,288754#0,3668164#0,7047707#3,340256#0,2028784#0,4988422#3,311694#0,3236964#0,5049154#3,346985#-0,07187808#0,469793#3,309002#0,3191165#0,6929349#3,528911#-0,02558349#0,677056#3,429672#0,1250347#0,4138677#3,460322#0,1277737#0,3431233#3,438257#0,2008853#0,267514#3,45204#0,04602693#0,2592388#3,414888#0,1758147#-0,2465948#3,244463#0,06727512#-0,2445239#3,407053#0,1273473#-0,599915#3,057052#0,2563907#-0,6372117#3,478255#0,1537351#-0,6481664#2,970202#0,2444515#-0,7069455#3,426975#1  
frame5 #0,194564#0,9517795#3,415771#0,1502428#0,773066#3,449237# 0,1004758#0,6322833#3,261529#0,2703332#0,4719379#3,295704#0,15865#0,6017482#3,278964#0,2027752#0,498011#3,31355#0,3331726#0,5101431#3,345064#-0,07121525#0,4694882#3,311989#0,3189018#0,6929606#3,528387#-0,02550391#0,6771241#3,429572#0,1249731#0,4139579#3,460355#0,1277409#0,3432054#3,43819#0,200841#0,2676062#3,452013#0,04606517#0,2595034#3,414792#0,1755893#-0,2469781#3,244015#0,06667782#-0,2443338#3,407549#0,1273426#-0,600229#3,056396#0,256979#-0,636076#3,474776#0,1536912#-0,6485507#2,969378#0,2833277#-0,6843977#3,387759#1  
frame6 #0,1916003#0,944036#3,418218#0,1494871#0,7734942#3,449858# 0,1005467#0,628643#3,258749#0,3027072#0,5009409#3,315257#0,1587171#0,5989757#3,27692#0,2022863#0,4965836#3,313712#0,3332283#0,5099736#3,345287#-0,07111451#0,4701588#3,312131#0,3182463#0,6924695#3,527677#-0,0267056#0,6774624#3,430137#0,1236877#0,4114673#3,460645#0,1261635#0,3395252#3,438107#0,1994356#0,262907#3,451238#0,04445094#0,2564955#3,415076#0,1755676#-0,2471272#3,24407#0,06526124#-0,2431725#3,409466#0,1275316#-0,5998888#3,056797#0,256476#-0,6140129#3,447499#0,1535644#-0,6482294#2,9696#0,2825088#-0,6623535#3,360302#1  
frame7 #0,178276#0,9639625#3,408444#0,1492237#0,7754911#3,450054# 0,06752832#0,5661126#3,346094#0,2928676#0,5011513#3,333212#0,1335873#0,5518813#3,342815#0,2021373#0,4931231#3,324176#0,3317641#0,5091875#3,346825#-0,07005359#0,4690386#3,310916#0,3182328#0,6924839#3,527644#-0,02665948#0,6770971#3,430454#0,1236213#0,4118719#3,460772#0,1261539#0,3398959#3,438061#0,1994383#0,26369#3,451039#0,0444698#0,2568097#3,415136#0,1754809#-0,2473059#3,243046#0,06425508#-0,2425841#3,412178#0,1273397#-0,6002206#3,056964#0,2563026#-0,6151277#3,447915#0,1533077#-0,6485843#2,96967#0,2557711#-0,697587#3,477629#1  
frame8 #0,1784868#0,9638572#3,4102#0,1487975#0,7756916#3,449663# 0,09268515#0,6235208#3,351939#0,3026969#0,5006606#3,319323#0,1531021#0,5935947#3,347769#0,2029518#0,4936759#3,31807#0,3343528#0,5038165#3,349118#-0,06959236#0,4711467#3,312285#0,3151443#0,69369#3,523346#-0,02756802#0,6777864#3,432219#0,1238297#0,4117869#3,460901#0,1260931#0,3398353#3,438042#0,1993297#0,2637177#3,450926#0,04447464#0,2568141#3,415218#0,1755424#-0,2473836#3,243615#0,06475136#-0,2436795#3,413476#0,1270366#-0,5998173#3,057097#0,2589358#-0,6288273#3,468578#0,1518724#-0,6486251#2,968654#0,2528474#-0,714592#3,447948#1  
frame9 #0,1766071#0,9706221#3,413827#0,1483698#0,7806822#3,449827# 0,07658253#0,4658981#3,272653#0,2921562#0,4984649#3,327566#0,1411597#0,4750783#3,288974#0,1918915#0,4933659#3,326012#0,3348913#0,5026191#3,351804#-0,08080979#0,4828446#3,339217#0,3149131#0,6951419#3,522454#-0,02724753#0,6788259#3,433831#0,1244491#0,4137455#3,461059#0,126757#0,3415973#3,438052#0,1996772#0,2642756#3,450618#0,04669232#0,2630343#3,41648#0,1763045#-0,2467565#3,24409#0,06492183#-0,2435124#3,413513#0,1270999#-0,6000353#3,05718#0,2585751#-0,6298808#3,467684#0,1515299#-0,6492119#2,967869#0,2435255#-0,7145361#3,444263#1  
frame10 #0,1765047#0,9656135#3,407015#0,1479869#0,7804362#3,449362# -0,03915471#0,4245734#3,256785#0,2597221#0,4955631#3,333093#0,04982233#0,4365102#3,273066#0,1875083#0,4809959#3,323124#0,3167534#0,4723206#3,335758#-0,08596029#0,4868836#3,346997#0,314633#0,6957693#3,521014#-0,02746069#0,6798342#3,435964#0,1249413#0,414493#3,460851#0,1273549#0,3428932#3,437677#0,2003815#0,264692#3,450161#0,04751033#0,2655569#3,416326#0,1766326#-0,2467591#3,245065#0,06561218#-0,2460163#3,41533#0,1273851#-0,6000991#3,05711#0,2583656#-0,6301891#3,467064#0,1510345#-0,6495184#2,967095#0,2368156#-0,7109987#3,434998#1  
frame11 #0,1709459#0,9669789#3,404617#0,1469622#0,7817235#3,449633# 0,03749417#0,4292789#3,266939#0,2339207#0,4633729#3,368011#0,1016721#0,4378572#3,285284#0,1688705#0,477355#3,3343#0,2942057#0,463592#3,354171#-0,1018994#0,4938434#3,380112#0,3152229#0,6968703#3,521895#-0,02884405#0,6792173#3,439857#0,1251493#0,4154555#3,460985#0,1275171#0,3438596#3,43761#0,2008265#0,2648964#3,449887#0,04749348#0,2664172#3,416377#0,1778742#-0,2461874#3,246465#0,06467644#-0,245647#3,422754#0,1285534#-0,5981816#3,059145#0,2582586#-0,6308838#3,467395#0,151421#-0,6478669#2,968336#0,2371167#-0,7123962#3,435333#1  
