frame1 #-0,8409405#0,9146178#3,329951#-0,8273825#0,7215085#3,348891# -0,8085934#0,4872014#2,838295#-0,8290102#0,5751898#2,819048#-0,7813559#0,4152002#2,905648#-0,8574548#0,403658#3,12118#-0,7386718#0,4197429#3,090875#-0,9928548#0,3693447#3,329287#-0,6810235#0,5891862#3,265831#-0,9937925#0,5403311#3,423733#-0,8052654#0,3737738#3,381489#-0,800842#0,3042268#3,391278#-0,7256402#0,2393001#3,369322#-0,8663864#0,2173153#3,42379#-0,711073#-0,2414559#3,102668#-0,9163762#-0,2542289#3,396896#-0,7113928#-0,5663611#3,001248#-0,6791253#-0,5887465#3,513995#-0,7529114#-0,6248888#2,916325#-0,6871182#-0,6007475#3,386952#1  
frame2 #-0,8335107#0,8930553#3,332077#-0,8334094#0,7030517#3,350154# -0,8282626#0,5782633#2,821025#-0,828717#0,5737574#2,819452#-0,8041487#0,4976609#2,869509#-0,8968935#0,5242721#3,032489#-0,732533#0,4042411#3,077417#-0,9667725#0,4660697#3,254271#-0,6812076#0,5591444#3,262133#-0,9973971#0,530364#3,432968#-0,8028802#0,3513193#3,378014#-0,7965022#0,2803912#3,386677#-0,7181556#0,2134217#3,373707#-0,8611857#0,1980942#3,407327#-0,7141846#-0,2433292#3,099708#-0,9289649#-0,2593511#3,390087#-0,7113295#-0,5671431#3,002379#-0,6801634#-0,5823216#3,512672#-0,7559271#-0,6257772#2,918695#-0,6864024#-0,596029#3,385347#1  
frame3 #-0,8307724#0,8774396#3,334661#-0,8353962#0,6832289#3,353811# -0,8295706#0,5762702#2,818219#-0,8264468#0,5675412#2,815296#-0,8037636#0,4966803#2,871776#-0,9018809#0,5126175#3,039714#-0,7329198#0,4041243#3,079663#-0,9759662#0,4457284#3,256706#-0,6795812#0,5574555#3,264329#-0,9986639#0,5244981#3,429307#-0,8023508#0,3438778#3,378219#-0,7958472#0,2750412#3,386545#-0,7166384#0,2084245#3,374497#-0,8608208#0,1920955#3,40574#-0,71886#-0,2462773#3,094241#-0,9359947#-0,2609037#3,388863#-0,7106301#-0,5675533#3,001628#-0,6804034#-0,5828248#3,512096#-0,7535037#-0,6259537#2,917186#-0,6871206#-0,5967782#3,385085#1  
frame4 #-0,8226216#0,857949#3,328989#-0,8348091#0,6763119#3,35653# -0,8322087#0,5750261#2,817225#-0,8259383#0,5630833#2,814509#-0,8038043#0,4955567#2,870055#-0,9017723#0,5003712#3,040926#-0,7338744#0,4000662#3,078057#-0,973924#0,4285267#3,258073#-0,6787993#0,5551554#3,261886#-0,9996018#0,5123275#3,428229#-0,802711#0,3368925#3,37934#-0,796329#0,2687025#3,387265#-0,7169082#0,2014178#3,371071#-0,8620077#0,1799626#3,411462#-0,7236806#-0,2514865#3,086971#-0,9413317#-0,2636668#3,384564#-0,7094651#-0,5710455#3,000815#-0,6806376#-0,5829925#3,512065#-0,7522747#-0,62914#2,916394#-0,6882371#-0,5975029#3,385399#1  
frame5 #-0,8235307#0,8580358#3,326554#-0,830992#0,6719309#3,352582# -0,8252182#0,56991#2,808451#-0,8239964#0,5586576#2,81005#-0,8056192#0,4898165#2,865983#-0,8996479#0,5001779#3,041508#-0,7312593#0,3960361#3,072401#-0,972718#0,4285764#3,257679#-0,6804224#0,5480572#3,259666#-0,9998869#0,510763#3,427926#-0,8029587#0,3322066#3,378793#-0,7972738#0,2637174#3,387235#-0,7197492#0,1918655#3,36531#-0,8636272#0,1745489#3,417271#-0,7243236#-0,2513296#3,086377#-0,9468282#-0,2688107#3,385549#-0,7096826#-0,5719861#3,000091#-0,6816173#-0,5837775#3,512437#-0,7530823#-0,6301879#2,9161#-0,6884323#-0,5978317#3,385723#1  
frame6 #-0,8238446#0,8580163#3,326566#-0,8315755#0,6632891#3,349308# -0,8266139#0,5685396#2,808514#-0,8239802#0,5574255#2,810533#-0,8027518#0,4845903#2,873115#-0,8960308#0,4960679#3,02718#-0,7302972#0,3876151#3,073954#-0,9682801#0,4159451#3,235898#-0,6784338#0,5330156#3,261435#-0,9975815#0,4854432#3,408975#-0,8028692#0,3236849#3,376707#-0,797091#0,2556462#3,38546#-0,7193116#0,1878514#3,365267#-0,8631586#0,169086#3,414572#-0,7266589#-0,2523611#3,084275#-0,9496092#-0,2728752#3,382723#-0,7038343#-0,5851593#3,003992#-0,6836898#-0,583732#3,508445#-0,7182491#-0,6643057#2,954532#-0,6900887#-0,5975195#3,381585#1  
frame7 #-0,8296076#0,8361709#3,326776#-0,8302436#0,6555563#3,35072# -0,8391597#0,5453551#2,810397#-0,8236446#0,5588153#2,809558#-0,8120343#0,4254083#2,903182#-0,8629282#0,4420187#3,04287#-0,7258441#0,3869987#3,074787#-0,9694486#0,4173705#3,247049#-0,6792063#0,5291266#3,262324#-1,004858#0,481542#3,418519#-0,803223#0,3160864#3,37798#-0,7977897#0,2481204#3,386714#-0,7191018#0,1795823#3,367604#-0,8650249#0,1609267#3,414732#-0,729256#-0,2523928#3,083804#-0,9519638#-0,2741635#3,381782#-0,7050307#-0,5848639#3,002972#-0,6905886#-0,5873177#3,500435#-0,7449339#-0,6431344#2,917123#-0,6942474#-0,6002561#3,373304#1  
frame8 #-0,8289698#0,8251597#3,324621#-0,8253849#0,6358998#3,355468# -0,8377858#0,5263003#2,816524#-0,8391929#0,5008543#2,823309#-0,8117468#0,4248428#2,900549#-0,9092244#0,4606197#3,04461#-0,7401822#0,3875214#3,077345#-0,9752088#0,4092109#3,260346#-0,6850375#0,5210652#3,268196#-1,014889#0,4824879#3,42544#-0,8048064#0,3034968#3,381631#-0,8003908#0,2365795#3,390219#-0,7218997#0,1644476#3,371871#-0,8694542#0,1507848#3,41782#-0,7313865#-0,252963#3,083565#-0,9535814#-0,2756407#3,38053#-0,7063575#-0,5829467#3,001242#-0,6888125#-0,5873742#3,500023#-0,7464135#-0,6408939#2,91524#-0,6927004#-0,6003813#3,372901#1  
frame9 #-0,8287921#0,8257933#3,322906#-0,827167#0,6387207#3,353785# -0,8360988#0,5219496#2,814514#-0,8339143#0,5198134#2,809005#-0,815201#0,4354886#2,880131#-0,9091068#0,4676695#3,046416#-0,7377906#0,3793683#3,088108#-0,9741275#0,4108546#3,258679#-0,6851656#0,5231767#3,267873#-1,010944#0,4762612#3,426552#-0,8048656#0,3037871#3,381397#-0,8003803#0,2367865#3,390053#-0,7220615#0,1679288#3,372363#-0,8690653#0,1504904#3,417893#-0,7338635#-0,253832#3,083401#-0,9547057#-0,2756396#3,381017#-0,7074217#-0,5827972#3,000248#-0,6927304#-0,5855377#3,504602#-0,7479613#-0,6409279#2,91461#-0,6954866#-0,5985913#3,377466#1  
frame10 #-0,830062#0,8359042#3,321416#-0,8309095#0,6437779#3,350653# -0,8363749#0,5202631#2,814568#-0,8354673#0,516774#2,810452#-0,8206204#0,4328062#2,883748#-0,875419#0,4233684#3,062875#-0,737394#0,3809097#3,086938#-0,9724659#0,3900496#3,268874#-0,6850015#0,5255308#3,267999#-1,010853#0,4759129#3,426149#-0,8041679#0,3051382#3,380114#-0,7991351#0,2379177#3,388853#-0,7189136#0,1693718#3,368789#-0,8670421#0,1514352#3,417856#-0,7403563#-0,2560449#3,079695#-0,955174#-0,2759513#3,381944#-0,7090638#-0,5823445#3,000513#-0,6929712#-0,585642#3,501758#-0,7148321#-0,6593679#2,946192#-0,6959071#-0,5985579#3,374691#1  
frame11 #-0,8382771#0,8304691#3,323755#-0,8290799#0,6470591#3,354105# -0,8367778#0,5196683#2,814012#-0,8531085#0,5087653#2,811836#-0,8224861#0,4334037#2,882815#-0,9038277#0,4593085#2,997021#-0,7454431#0,3917492#3,079839#-0,9535125#0,4551631#3,224874#-0,6949472#0,5361683#3,264396#-0,9997863#0,4304591#3,435165#-0,8028942#0,3065737#3,379317#-0,7977197#0,239184#3,387542#-0,7167765#0,1747764#3,357436#-0,8643815#0,1506623#3,419502#-0,7462811#-0,2618145#3,07916#-0,9595723#-0,2693105#3,387808#-0,7088794#-0,5817662#3,002567#-0,6928635#-0,5874608#3,50548#-0,716056#-0,6593288#2,949236#-0,6954592#-0,5999599#3,3784#1  
frame12 #-0,8792338#0,8598909#3,371388#-0,8390254#0,7006756#3,383779# -0,9466271#0,3279012#2,828675#-0,9637043#0,3307905#2,808759#-0,8681296#0,3259331#2,89363#-0,9289566#0,3549863#3,161953#-0,7529737#0,3924727#3,085747#-0,9347067#0,3712904#3,397422#-0,7292504#0,5543391#3,26313#-0,9400834#0,5272837#3,476145#-0,8016562#0,3076868#3,378094#-0,7946385#0,237686#3,383443#-0,723534#0,1837156#3,350095#-0,840481#0,1692156#3,405448#-0,7754255#-0,2581703#3,076366#-0,9895482#-0,2119973#3,403827#-0,689776#-0,5889091#2,99713#-0,7304538#-0,5560638#3,492514#-0,7078641#-0,6585346#2,936448#-0,7212371#-0,5749887#3,366937#1  
frame13 #-0,8806354#0,8647106#3,371901#-0,8393791#0,7037956#3,385316# -0,9899758#0,2487693#2,842878#-0,9819284#0,2670707#2,832444#-0,8769964#0,2850941#2,91801#-0,9469409#0,3579376#3,054304#-0,7558482#0,3949547#3,086387#-0,9527228#0,4524297#3,272144#-0,7410586#0,5630916#3,261882#-0,9404371#0,5304037#3,477682#-0,7063085#0,3161202#3,386537#-0,6794898#0,2367795#3,389458#-0,6195935#0,1936105#3,338069#-0,7005827#0,1651525#3,437926#-0,7791495#-0,2585589#3,079553#-0,7243909#-0,2445807#3,421167#-0,6711944#-0,5936599#2,986036#-0,6814843#-0,592793#3,512755#-0,6991519#-0,6528732#2,918897#-0,673553#-0,6060975#3,38682#1  
