frame1 #-0,157231#0,8643745#3,136915#-0,1087326#0,6911801#3,181077# -0,3489504#0,284565#2,827312#-0,655193#0,5007238#3,084317#-0,2576149#0,304646#2,829106#-0,6399143#0,4818832#3,095546#-0,1034147#0,3944634#2,89706#-0,4710442#0,470452#3,187712#0,01609435#0,5767472#3,05151#-0,3014235#0,546081#3,231415#-0,07736848#0,3222231#3,191347#-0,09918053#0,2530592#3,148054#-0,02602132#0,1811744#3,105974#-0,1689043#0,1673746#3,173208#0,1578223#-0,2532182#3,116342#-0,3419663#-0,2487486#3,192742#0,2722144#-0,5483344#3,129601#-0,3768264#-0,5920709#3,175515#0,3552391#-0,6199514#3,08901#-0,4231423#-0,6389558#3,098101#0  
frame2 #-0,157515#0,8640544#3,137579#-0,1090717#0,6916954#3,181531# -0,38053#0,2913454#2,839763#-0,7192252#0,5283188#3,058903#-0,2873815#0,3086144#2,844644#-0,640426#0,493817#3,098891#-0,1038022#0,3942364#2,897104#-0,4708731#0,4703647#3,187308#0,0159118#0,576664#3,051759#-0,3015764#0,5469303#3,232279#-0,07735378#0,3221576#3,191621#-0,0992204#0,2528846#3,148365#-0,02608096#0,1807947#3,106223#-0,1688983#0,1673231#3,173542#0,1568846#-0,2521969#3,116043#-0,3417577#-0,2488039#3,193017#0,3375923#-0,5792113#3,134973#-0,3762961#-0,5927489#3,176474#0,4024435#-0,6583276#3,07277#-0,4238282#-0,640761#3,097263#0  
frame3 #-0,157682#0,8640821#3,137441#-0,1095497#0,6915199#3,181129# -0,3803993#0,2906277#2,840594#-0,7733681#0,561524#3,030936#-0,2868172#0,308528#2,844445#-0,6403498#0,4974664#3,098299#-0,1040172#0,3939635#2,89613#-0,4708061#0,4703822#3,186222#0,01580048#0,5763477#3,051509#-0,3012436#0,5469099#3,231863#-0,07741973#0,3222136#3,191689#-0,09921978#0,2528555#3,148613#-0,02609404#0,1807201#3,106385#-0,1686265#0,1674032#3,174529#0,1554033#-0,2468419#3,114842#-0,3414448#-0,2488683#3,192818#0,3347976#-0,5765887#3,133646#-0,3756846#-0,5923149#3,175572#0,4010858#-0,6568585#3,073715#-0,4233608#-0,6405218#3,096115#0  
frame4 #-0,1810073#0,8628433#3,135248#-0,1441196#0,6797385#3,16441# -0,3874717#0,2478053#2,810677#-0,6768596#0,47446#3,06844#-0,2869621#0,2712682#2,814293#-0,6725557#0,4489793#3,066232#-0,1320888#0,3798997#2,888878#-0,4957657#0,4501503#3,170825#0,0001708125#0,5726397#3,049072#-0,3133729#0,5410657#3,22647#-0,08351149#0,3192899#3,189245#-0,1014551#0,2474413#3,148689#-0,02677004#0,1772938#3,107767#-0,1681925#0,1631333#3,175108#0,155564#-0,2421796#3,110529#-0,3419998#-0,2495496#3,194896#0,2706635#-0,5454915#3,109801#-0,371267#-0,5957717#3,175049#0,3669797#-0,6295169#3,084503#-0,4229246#-0,6687945#3,139356#0  
frame5 #-0,2021304#0,8463653#3,132233#-0,1530221#0,6775339#3,162233# -0,4071602#0,2319434#2,797848#-0,7288392#0,4746305#3,053699#-0,3043694#0,2583261#2,80393#-0,6843587#0,4698065#3,076848#-0,1419513#0,3614081#2,872378#-0,5026042#0,4469443#3,170957#-0,03250745#0,5614488#3,045471#-0,3255752#0,5373541#3,222749#-0,09085807#0,3143725#3,186221#-0,1066773#0,2421058#3,148811#-0,03150472#0,1731199#3,110135#-0,1693344#0,1613679#3,1752#0,147551#-0,2343545#3,10571#-0,3415465#-0,2481224#3,197#0,3189275#-0,5576982#3,117716#-0,3714956#-0,5947552#3,174977#0,2668222#-0,6115319#3,034574#-0,4126872#-0,6730741#3,140061#0  
frame6 #-0,2119961#0,8498038#3,127212#-0,1739811#0,6714489#3,156568# -0,3905177#0,2431958#2,804964#-0,819377#0,5145351#3,011345#-0,3046429#0,2532035#2,796371#-0,7563097#0,4809517#3,043242#-0,1433299#0,3577623#2,866629#-0,5234571#0,434727#3,162454#-0,04050747#0,5597181#3,042793#-0,3486914#0,5292054#3,215414#-0,1049668#0,3099432#3,184326#-0,1160031#0,2369672#3,149251#-0,0387865#0,1694579#3,11455#-0,1760712#0,1570234#3,174345#0,1425343#-0,2338717#3,104052#-0,3453005#-0,2469516#3,20232#0,3182808#-0,5583811#3,119216#-0,3715502#-0,5965061#3,175625#0,2692214#-0,6132785#3,034142#-0,4555479#-0,6674945#3,156882#0  
frame7 #-0,2414887#0,8409437#3,124732#-0,2051881#0,6576135#3,144884# -0,4124472#0,2172849#2,789433#-0,7525961#0,4509893#3,030095#-0,3111111#0,2501177#2,793862#-0,7082642#0,4281569#3,045369#-0,1475821#0,3507844#2,861076#-0,5360907#0,4263166#3,159693#-0,07839049#0,5457376#3,041966#-0,3650005#0,5260196#3,209392#-0,125309#0,3020212#3,180192#-0,1327771#0,2279033#3,150426#-0,0560015#0,1610771#3,119918#-0,186853#0,1521426#3,175812#0,1340111#-0,2333155#3,103706#-0,3517346#-0,2449134#3,20604#0,2669605#-0,538408#3,112478#-0,3691547#-0,6010969#3,175443#0,3667703#-0,6188369#3,112781#-0,4344136#-0,6647673#3,143076#0  
frame8 #-0,2700698#0,8262874#3,108459#-0,2332208#0,6437411#3,145545# -0,4096549#0,2047829#2,771011#-0,8527902#0,4918676#2,970308#-0,3125804#0,2427701#2,786376#-0,768369#0,4432391#3,010444#-0,1536756#0,3479589#2,858168#-0,5796925#0,4139906#3,143309#-0,09718967#0,5368361#3,043077#-0,3953863#0,5169996#3,204015#-0,1593571#0,2869962#3,186101#-0,1639284#0,2124059#3,161537#-0,0859494#0,1544901#3,13395#-0,2205251#0,127012#3,190185#0,1194737#-0,2418436#3,106046#-0,3561784#-0,2412836#3,211677#0,2666993#-0,5380621#3,112274#-0,3690712#-0,6024302#3,175621#0,2207031#-0,5942469#3,028731#-0,4308653#-0,6645558#3,14136#0  
frame9 #-0,3601848#0,8113931#3,063558#-0,3187438#0,6376241#3,10229# -0,4153891#0,1747772#2,749233#-0,9072447#0,428846#2,908936#-0,3228291#0,2144415#2,771528#-0,7845817#0,3559021#3,005807#-0,1832256#0,3317404#2,860165#-0,6339943#0,3921708#3,141578#-0,1839583#0,5255544#3,037042#-0,4802447#0,5135342#3,190272#-0,2407164#0,2884501#3,184704#-0,2398429#0,2118446#3,175596#-0,1667796#0,1606751#3,160913#-0,2873853#0,1252932#3,209458#0,09388398#-0,2545452#3,135731#-0,4016545#-0,2479421#3,224663#0,2814269#-0,5816342#3,129151#-0,3697121#-0,6053888#3,176483#0,3766302#-0,6469385#3,077037#-0,4113316#-0,6766248#3,132229#0  
frame10 #-0,3735278#0,8154695#3,063101#-0,3390608#0,6433468#3,107839# -0,4170176#0,1707436#2,74866#-0,916563#0,4138871#2,89012#-0,3244044#0,209403#2,776027#-0,8794025#0,3840762#2,933739#-0,1869473#0,330878#2,8642#-0,6828324#0,3666894#3,128502#-0,1985018#0,5286784#3,036532#-0,4926782#0,5157999#3,184694#-0,2524528#0,289948#3,186687#-0,2485243#0,2132306#3,179633#-0,1744411#0,1635215#3,165548#-0,2954882#0,1267094#3,212456#0,06921072#-0,2290649#3,147707#-0,4071372#-0,2456792#3,228044#0,2797705#-0,5798712#3,126379#-0,3713048#-0,6040427#3,177515#0,3720464#-0,6526777#3,090327#-0,4141218#-0,6761993#3,138054#0  
frame11 #-0,4012998#0,8150015#3,06231#-0,3555416#0,6444114#3,103883# -0,4233252#0,1682402#2,745127#-0,9147029#0,3897603#2,852008#-0,3395267#0,1921499#2,776305#-0,831259#0,3323376#2,967078#-0,1919243#0,3451428#2,883603#-0,6944945#0,361627#3,121407#-0,2234809#0,5334335#3,037922#-0,5140254#0,5239884#3,178478#-0,2698443#0,2923233#3,185554#-0,2641011#0,2160417#3,181558#-0,1907015#0,1635114#3,167489#-0,3098442#0,1335#3,215909#0,06010915#-0,2401768#3,146497#-0,4217959#-0,2403877#3,223102#0,2250902#-0,5604162#3,13537#-0,3772793#-0,5976359#3,182998#0,3250249#-0,6327406#3,107181#-0,4105015#-0,6732309#3,139073#0  
frame12 #-0,4236021#0,8262564#3,054721#-0,3927169#0,6491272#3,100687# -0,3746322#0,1704869#2,774487#-0,9044552#0,3190447#2,837868#-0,2935255#0,2202428#2,819793#-0,8599678#0,3141514#2,922493#-0,1739079#0,3564299#2,913092#-0,6865961#0,3702043#3,130435#-0,2435227#0,5461755#3,047706#-0,5505625#0,5254846#3,163697#-0,3083241#0,3019326#3,189904#-0,2988739#0,2273817#3,191502#-0,2214637#0,1742307#3,183702#-0,3457452#0,1433373#3,224719#-0,01361528#-0,2133526#3,127612#-0,441857#-0,2419088#3,216501#0,1279524#-0,574429#3,186327#-0,3848007#-0,5986116#3,179289#0,2098483#-0,6585355#3,167969#-0,4055069#-0,677085#3,13568#0  
frame13 #-0,4270794#0,8340019#3,054163#-0,3990578#0,6555992#3,101974# -0,3585301#0,1765236#2,786517#-0,8863313#0,2920799#2,847411#-0,2790768#0,2175949#2,840428#-0,8197269#0,2856773#2,969211#-0,1706056#0,3778177#2,948578#-0,6927968#0,3612165#3,12248#-0,2516686#0,5580146#3,057457#-0,561337#0,5311739#3,153306#-0,3279778#0,3060444#3,189965#-0,3200713#0,2315853#3,192663#-0,2425348#0,1765567#3,189686#-0,3764043#0,1492281#3,219545#-0,03389347#-0,2147232#3,126375#-0,4497207#-0,2425901#3,211882#0,04873703#-0,5916365#3,242157#-0,3888103#-0,6016605#3,17542#0,1315365#-0,6476862#3,246465#-0,4022382#-0,681262#3,133979#0  
frame14 #-0,4404827#0,8548006#3,063147#-0,425995#0,6716172#3,103079# -0,2877003#0,2221289#2,877025#-0,8159898#0,2314179#2,82417#-0,2208602#0,2764629#2,932563#-0,7630762#0,2565064#2,97929#-0,1378858#0,4188082#3,046861#-0,6814837#0,367818#3,130193#-0,261079#0,5905792#3,095214#-0,5895545#0,5453803#3,11539#-0,3756953#0,3238187#3,185687#-0,3665844#0,2519363#3,191369#-0,2782707#0,1934737#3,203041#-0,4352676#0,164993#3,205243#-0,1884588#-0,2335262#3,141575#-0,4766592#-0,2495956#3,174243#-0,2584113#-0,6079251#3,296935#-0,3912202#-0,6000733#3,148484#-0,2225625#-0,688519#3,292042#-0,4195979#-0,6755012#3,112293#0  
frame15 #-0,4439371#0,8720204#3,063633#-0,4345179#0,6860466#3,104924# -0,2785012#0,2359241#2,901221#-0,7636574#0,2318561#2,869814#-0,2185823#0,2907595#2,963114#-0,7628863#0,2295295#3,013148#-0,1323178#0,4274645#3,08085#-0,6785986#0,3701181#3,127263#-0,2648388#0,5978916#3,109137#-0,5927033#0,5475533#3,108927#-0,3856664#0,3290034#3,183575#-0,3758617#0,2561078#3,190005#-0,2875524#0,1961942#3,205313#-0,4468846#0,1700658#3,198112#-0,251508#-0,2592514#3,15329#-0,4855174#-0,2477401#3,160359#-0,3243761#-0,5795197#3,278683#-0,398037#-0,5956465#3,143318#-0,2992236#-0,6620939#3,293265#-0,4196894#-0,674253#3,111444#0  
frame16 #-0,4466481#0,8740445#3,068337#-0,4401161#0,6911131#3,106794# -0,2729451#0,2382987#2,925609#-0,7310499#0,2243963#2,871352#-0,2200049#0,3057899#2,980194#-0,7525479#0,2298322#3,006706#-0,1335121#0,4518066#3,141498#-0,6781076#0,3709815#3,126335#-0,2694901#0,6151053#3,143137#-0,5962538#0,5508633#3,100399#-0,3966808#0,3339181#3,181912#-0,3863877#0,2611285#3,188879#-0,2991823#0,2000814#3,209041#-0,456933#0,174131#3,191612#-0,2780124#-0,2363366#3,170708#-0,4879301#-0,2498045#3,151821#-0,3355294#-0,5811838#3,270276#-0,3970127#-0,5919169#3,142975#-0,3909583#-0,6482432#3,19008#-0,4715523#-0,6641942#3,199726#0  
frame17 #-0,4478251#0,895638#3,108486#-0,4471182#0,6971748#3,11951# -0,2257972#0,2698982#3,018641#-0,6168484#0,2364122#2,83735#-0,2115542#0,3338652#3,05728#-0,6280307#0,276462#2,901057#-0,1793272#0,4776545#3,270406#-0,6580076#0,3762147#3,079028#-0,277321#0,6299672#3,211464#-0,5932938#0,5544659#3,090631#-0,4168181#0,3385012#3,179504#-0,4091217#0,2664722#3,18451#-0,3309826#0,2005755#3,217171#-0,4860913#0,1837232#3,162631#-0,3917415#-0,2548913#3,20505#-0,4901907#-0,2464934#3,127593#-0,3907426#-0,6243086#3,146108#-0,6317616#-0,6125406#3,189178#-0,461339#-0,6754535#3,167307#-0,5490474#-0,6735901#3,173561#0  
frame18 #-0,4536477#0,9035673#3,120325#-0,4525951#0,7014794#3,128568# -0,1956985#0,2940991#3,060197#-0,5556554#0,2485526#2,840864#-0,19589#0,3492503#3,112251#-0,5848398#0,2840122#2,901215#-0,1926935#0,4768517#3,312631#-0,6608424#0,3763564#3,072106#-0,2820892#0,6319188#3,243201#-0,5896163#0,5553035#3,088225#-0,4220339#0,3395463#3,180183#-0,4128366#0,2672146#3,185453#-0,3363728#0,2012914#3,221136#-0,4861215#0,1838059#3,162408#-0,3908485#-0,1688796#3,230705#-0,4835685#-0,245465#3,132011#-0,395007#-0,5913748#3,152095#-0,632889#-0,6128299#3,190495#-0,4523304#-0,672156#3,155525#-0,5483533#-0,6728765#3,173658#0  
frame19 #-0,4399539#0,8967337#3,146054#-0,4660588#0,7026289#3,15895# -0,06141666#0,5461185#3,308109#-0,4001166#0,3796576#2,877758#-0,1186567#0,5239585#3,322047#-0,4448583#0,3469627#2,880303#-0,2903767#0,4574785#3,377558#-0,6194409#0,3672174#2,963039#-0,3133638#0,6329023#3,295274#-0,5357444#0,5611305#3,070673#-0,4360781#0,3436838#3,185663#-0,4256118#0,2720426#3,190372#-0,373169#0,2032791#3,249219#-0,4777151#0,1920761#3,148152#-0,5549678#-0,2692018#3,280167#-0,408729#-0,2489682#3,076096#-0,3970916#-0,602367#3,139766#-0,6269497#-0,5897506#3,196762#-0,4084436#-0,6715126#3,075796#-0,5622312#-0,6359372#3,135211#0  
frame20 #-0,4372148#0,8986201#3,16101#-0,4693361#0,7038755#3,17089# -0,2274801#0,6729624#3,491416#-0,3358186#0,3941386#2,906245#-0,2440248#0,6198228#3,462178#-0,4017051#0,4271886#2,916119#-0,2936588#0,460404#3,388165#-0,6109855#0,3696837#2,952502#-0,3168232#0,6341813#3,306533#-0,529271#0,5582236#3,066676#-0,4381401#0,3465578#3,188465#-0,4272326#0,2752959#3,192132#-0,3746405#0,2044585#3,255037#-0,4737279#0,192978#3,138623#-0,5251789#-0,2819481#3,268247#-0,3795113#-0,2557384#3,079312#-0,3930521#-0,579958#3,140518#-0,6205239#-0,5838547#3,195434#-0,3251053#-0,6252465#3,082243#-0,5525771#-0,6291432#3,137159#0  
frame21 #-0,4333717#0,8986846#3,176169#-0,4699758#0,7043493#3,179254# -0,2789665#0,6811646#3,504412#-0,3280679#0,4863555#2,913065#-0,2828254#0,6262866#3,473942#-0,3906757#0,4466271#2,911367#-0,294402#0,4616526#3,396236#-0,5686204#0,3761998#2,883696#-0,3176052#0,6346924#3,314811#-0,5198891#0,5593014#3,061548#-0,4375277#0,3498585#3,192216#-0,4260887#0,2792778#3,195045#-0,3725668#0,2066113#3,264079#-0,4670842#0,1931124#3,133041#-0,5288488#-0,2771006#3,312321#-0,327461#-0,2582972#3,079846#-0,3799703#-0,5901796#3,134418#-0,601347#-0,5644621#3,190826#-0,3926989#-0,6683607#3,102868#-0,530412#-0,6091942#3,135788#0  
frame22 #-0,4274577#0,9037648#3,189089#-0,468531#0,7123535#3,187493# -0,3048001#0,7090553#3,467568#-0,2929409#0,6133179#2,912988#-0,3018559#0,649415#3,448378#-0,3487058#0,5740253#2,893744#-0,2930232#0,4704941#3,404517#-0,5160003#0,4561477#2,849722#-0,3162842#0,6427248#3,323026#-0,503102#0,5887524#3,046263#-0,4326016#0,323061#3,1875#-0,4191605#0,2349558#3,182786#-0,3663786#0,1820049#3,221941#-0,4628695#0,1863362#3,135266#-0,5087674#-0,3025751#3,312509#-0,2624566#-0,257765#3,085905#-0,3201898#-0,599467#3,130689#-0,571084#-0,5397703#3,189672#-0,2458121#-0,6424696#3,082328#-0,4967063#-0,5827729#3,141311#0  
