frame1 #-0,3458518#1,056803#3,617463#-0,3592898#0,8657422#3,637824# 0,08853719#0,4463697#3,802836#-0,3883625#0,715171#3,059107#0,03421009#0,4695586#3,774227#-0,3804562#0,6474642#3,087349#-0,1287712#0,5391253#3,701717#-0,4598742#0,5672707#3,341967#-0,2025002#0,7711335#3,728352#-0,5001484#0,7113529#3,529202#-0,3210627#0,5177404#3,646227#-0,3086705#0,448844#3,643857#-0,2328781#0,389641#3,668893#-0,3668198#0,3627397#3,616282#-0,2236279#-0,1694989#3,693389#-0,3460822#-0,1604026#3,421851#-0,3087281#-0,5441854#3,718458#-0,3238763#-0,5395862#3,329108#-0,3106437#-0,5607865#3,594797#-0,2674508#-0,5887973#3,250568#1  
frame2 #-0,3367996#1,046373#3,611572#-0,356972#0,8594881#3,638469# -0,3352795#0,5415101#3,406382#-0,3634084#0,6434132#3,016478#-0,2751956#0,5501027#3,48735#-0,3803097#0,5981852#3,081464#-0,1273073#0,5689967#3,711819#-0,4613165#0,5673726#3,338296#-0,2012827#0,7700708#3,726915#-0,4998337#0,7113846#3,528435#-0,32143#0,5168122#3,645438#-0,3092316#0,4482752#3,642628#-0,2336298#0,3884832#3,667626#-0,3681876#0,3618224#3,6135#-0,2236389#-0,1694882#3,693257#-0,3457995#-0,1601946#3,421767#-0,3078301#-0,543917#3,687947#-0,3238503#-0,5396041#3,329059#-0,3101655#-0,562059#3,562787#-0,2668807#-0,5894859#3,249282#1  
frame3 #-0,3262481#1,050931#3,609884#-0,3476062#0,8555329#3,638246# -0,2719459#0,5113078#3,477725#-0,3401604#0,5843056#2,985876#-0,2975526#0,5838099#3,55191#-0,3808489#0,5489751#3,072455#-0,1311151#0,5538754#3,761751#-0,4561301#0,5683507#3,33319#-0,1993055#0,7660403#3,730743#-0,4915706#0,7124283#3,525649#-0,3151608#0,4643768#3,641882#-0,3054493#0,3878078#3,638535#-0,2363945#0,3275256#3,663208#-0,3651261#0,3080191#3,610615#-0,2240885#-0,1693304#3,694302#-0,3378294#-0,1762552#3,410743#-0,3063329#-0,5391666#3,669211#-0,3238699#-0,5396039#3,330463#-0,3099418#-0,5593136#3,543592#-0,3083943#-0,6165777#3,278643#1  
frame4 #-0,3028671#1,044406#3,624939#-0,346443#0,8561067#3,637154# -0,2947314#0,4765265#3,434666#-0,2952878#0,5099936#2,962359#-0,2496439#0,456676#3,525928#-0,4003391#0,5285536#3,10286#-0,1350099#0,5508337#3,7561#-0,4627189#0,5876519#3,326099#-0,198493#0,769887#3,740042#-0,4159174#0,7363404#3,536623#-0,313979#0,5014181#3,642148#-0,3015109#0,4378328#3,63952#-0,2466576#0,3843161#3,675343#-0,3449114#0,3672653#3,600554#-0,2246392#-0,1705801#3,691462#-0,3337451#-0,1764543#3,409176#-0,2983593#-0,5022725#3,674637#-0,3240471#-0,5387567#3,333622#-0,3147618#-0,5403808#3,556314#-0,3076379#-0,6150314#3,283604#1  
frame5 #-0,3021142#1,044282#3,624546#-0,3458647#0,8559521#3,636192# -0,2252282#0,4074318#3,474118#-0,2958933#0,4101469#2,962511#-0,1635226#0,4306106#3,622459#-0,4210376#0,4867984#3,158149#-0,150343#0,5516253#3,815593#-0,4615425#0,5948645#3,329554#-0,2007448#0,7677866#3,750441#-0,4141754#0,7365005#3,534967#-0,3165317#0,4897639#3,639543#-0,3046745#0,4134083#3,635192#-0,2525411#0,3617189#3,669452#-0,3463001#0,3512024#3,598813#-0,2251115#-0,1824607#3,684983#-0,323382#-0,1769743#3,407586#-0,3112768#-0,5027176#3,363541#-0,3238633#-0,5386693#3,333457#-0,2395394#-0,550229#3,298199#-0,306281#-0,6131375#3,28267#1  
frame6 #-0,287995#1,054271#3,622588#-0,3285912#0,8644753#3,627547# -0,195935#0,3702722#3,5076#-0,2947847#0,326264#2,995339#-0,1641348#0,4041581#3,578672#-0,3868999#0,455963#3,147867#-0,1528551#0,5521523#3,81593#-0,4495691#0,5864438#3,297427#-0,2059292#0,7677266#3,755487#-0,3992092#0,7436326#3,528867#-0,3161673#0,4921788#3,6338#-0,3049285#0,4165946#3,629812#-0,255201#0,3616214#3,6696#-0,3438093#0,3522047#3,576166#-0,2127558#-0,1380907#3,67127#-0,3146298#-0,1877315#3,394887#-0,3102467#-0,4885806#3,373961#-0,3431802#-0,5359168#3,34143#-0,2372721#-0,5342743#3,317224#-0,309103#-0,5967312#3,288305#1  
frame7 #-0,2743405#1,053552#3,627388#-0,3228098#0,8670475#3,631237# -0,1648568#0,3207832#3,54013#-0,3509417#0,3616649#3,12041#-0,1726343#0,3921895#3,562695#-0,3873802#0,4419279#3,17146#-0,2095262#0,516491#3,815801#-0,4325558#0,5850655#3,319201#-0,2070692#0,7686567#3,765409#-0,3666939#0,7270154#3,526909#-0,3173083#0,4922425#3,630632#-0,3068691#0,4167622#3,625839#-0,2644311#0,3613358#3,668784#-0,3445469#0,3464241#3,565916#-0,2277667#-0,2309743#3,631091#-0,308405#-0,1845081#3,377985#-0,3219417#-0,5406748#3,332101#-0,3512284#-0,5410026#3,340539#-0,2459829#-0,5839695#3,285811#-0,3113294#-0,5952248#3,287327#1  
frame8 #-0,2647099#1,048743#3,63018#-0,315479#0,8687169#3,630945# -0,1530191#0,3243332#3,578227#-0,320536#0,2967367#3,16008#-0,1832221#0,3706285#3,629#-0,3540916#0,3863736#3,194005#-0,2173976#0,5031347#3,795371#-0,4166333#0,5567759#3,303#-0,2056794#0,7688758#3,766904#-0,3604735#0,7220359#3,512477#-0,3183737#0,4819808#3,622356#-0,3105691#0,4025511#3,616065#-0,2758066#0,3339278#3,672484#-0,3497914#0,3027146#3,533451#-0,232203#-0,2761781#3,634881#-0,2989912#-0,1971686#3,369482#-0,3549569#-0,5339489#3,325777#-0,370249#-0,5351733#3,326533#-0,2803364#-0,5755336#3,284672#-0,3463659#-0,589727#3,27225#1  
frame9 #-0,2574557#1,044467#3,637356#-0,3056663#0,8681258#3,634514# -0,1547801#0,2912112#3,613575#-0,2929167#0,2119162#3,219925#-0,1965809#0,3325645#3,66106#-0,3122741#0,3098068#3,242257#-0,2156289#0,5009744#3,795893#-0,3815678#0,5165535#3,311277#-0,1990718#0,7677463#3,772084#-0,3344187#0,7147496#3,497411#-0,3157241#0,4326568#3,623317#-0,3104836#0,3456739#3,619272#-0,2826095#0,2520532#3,713217#-0,3452094#0,2281708#3,512478#-0,2292816#-0,2683866#3,639679#-0,2965343#-0,2091008#3,359023#-0,3905846#-0,5347337#3,305294#-0,3895553#-0,5399822#3,314124#-0,3524583#-0,5989333#3,272178#-0,350359#-0,5901212#3,262922#1  
frame10 #-0,2414506#1,040841#3,634466#-0,2892735#0,867034#3,627001# -0,1626316#0,2477851#3,658141#-0,2672938#0,1878778#3,278636#-0,2026153#0,3031981#3,688128#-0,2901996#0,2692599#3,288385#-0,2041733#0,4966058#3,787118#-0,3538176#0,4731998#3,334114#-0,1850747#0,7661832#3,766901#-0,3242376#0,7140383#3,485221#-0,3113064#0,414098#3,620861#-0,306532#0,3197573#3,618131#-0,2822136#0,2745636#3,641561#-0,3321555#0,2557054#3,591471#-0,2268634#-0,2541114#3,677067#-0,3092597#-0,2436964#3,337965#-0,3728124#-0,5165725#3,308039#-0,4026608#-0,5624176#3,258718#-0,296871#-0,5584159#3,274991#-0,3848827#-0,6008117#3,192154#1  
frame11 #-0,2369652#1,038138#3,635886#-0,2855261#0,8666492#3,628057# -0,1766427#0,2839536#3,688332#-0,2408182#0,198019#3,345953#-0,2132338#0,2918015#3,706755#-0,2572219#0,2410048#3,319122#-0,2012136#0,4955207#3,787604#-0,3271976#0,4438351#3,342441#-0,1808662#0,7655968#3,768322#-0,3067663#0,7107453#3,478415#-0,3060029#0,371555#3,590285#-0,3020917#0,2728969#3,581032#-0,2786189#0,2491193#3,577898#-0,3302435#0,2459606#3,584354#-0,2347654#-0,2682941#3,683036#-0,314769#-0,2465038#3,327903#-0,3582167#-0,5297097#3,295299#-0,4226649#-0,5738165#3,219419#-0,2796885#-0,5708455#3,265319#-0,3808752#-0,6040149#3,158847#1  
