frame1 #-1,045877#0,8941019#3,345429#-0,967606#0,6743364#3,305118# -0,6664735#0,01974951#3,279169#-0,8027055#0,12909#3,191364#-0,6962355#0,1185391#3,351497#-0,8046687#0,1938731#3,113879#-0,6878542#0,3570886#3,383036#-0,9770289#0,3595012#3,139276#-0,7913976#0,56392#3,351405#-1,053002#0,5160956#3,200183#-0,8823085#0,287154#3,271591#-0,8363371#0,2323825#3,211386#-0,7592586#0,173281#3,240127#-0,874522#0,1520103#3,149678#-0,863852#-0,286919#2,937544#-0,8273716#-0,2587971#3,011672#-0,7667453#-0,6204567#2,73886#-0,7741264#-0,6058601#2,749184#-0,7916359#-0,6698006#2,685205#-0,7899891#-0,6541542#2,687351#1  
frame2 #-0,9823104#0,9551702#3,231622#-0,9533362#0,7261776#3,176858# -0,7340468#0,1444271#3,334799#-0,6980637#0,2511881#3,455727#-0,7447733#0,214063#3,312413#-0,7359383#0,302846#3,397515#-0,7399959#0,40108#3,370461#-0,849562#0,4578198#3,23806#-0,7966375#0,5673726#3,209048#-0,9837835#0,563586#3,072356#-0,8750349#0,2995848#3,188996#-0,8213626#0,2309807#3,143908#-0,7606306#0,183931#3,162447#-0,852359#0,1773525#3,110135#-0,8490424#-0,2720513#2,881389#-0,7659653#-0,2068693#2,955289#-0,7763728#-0,6514944#2,721127#-0,7731528#-0,647723#2,728735#-0,843062#-0,6834183#2,700823#-0,8148335#-0,6574819#2,665124#1  
frame3 #-1,043001#0,9349422#3,18911#-0,9435055#0,7224079#3,161915# -0,9102235#0,3317897#3,270866#-0,6959945#0,2392366#3,470971#-0,9211493#0,4027196#3,248064#-0,7328185#0,2931431#3,409214#-1,120727#0,45908#3,090868#-0,8432907#0,4548626#3,239011#-0,8764209#0,5556775#3,059898#-0,9739528#0,5598164#3,057414#-0,8404188#0,3040055#3,187463#-0,8174841#0,2273805#3,130651#-0,7879542#0,2023259#3,125446#-0,8362007#0,1953461#3,109206#-0,8462272#-0,2615157#2,875193#-0,7710878#-0,188034#2,959228#-0,7803584#-0,6403356#2,724453#-0,7802052#-0,6360012#2,731051#-0,8415917#-0,6871896#2,699888#-0,8132049#-0,6665819#2,663789#1  
frame4 #-0,9576489#0,9579061#3,157665#-0,9194264#0,7235369#3,113876# -0,8813201#0,3626173#3,218886#-0,7097794#0,2216222#3,466676#-0,8923457#0,4341946#3,195875#-0,7358407#0,2845437#3,397964#-1,06765#0,4972883#2,988279#-0,8140247#0,473308#3,206773#-0,8616059#0,5569514#3,020054#-0,8962855#0,6082152#2,992653#-0,8772467#0,2972689#3,150867#-0,817233#0,2238792#3,117823#-0,8003822#0,1952249#3,104101#-0,8288412#0,2054921#3,111536#-0,8425637#-0,2551677#2,870545#-0,7697212#-0,2235087#2,98155#-0,7917496#-0,6443475#2,70745#-0,7870969#-0,6086004#2,738449#-0,7203768#-0,6855904#2,65369#-0,7157241#-0,6498434#2,684689#1  
frame5 #-0,9435291#0,9493519#3,073374#-0,8931153#0,7228805#3,064911# -1,30634#0,731807#3,05664#-0,6850205#0,2135278#3,399849#-1,263776#0,6539027#3,007173#-0,7106004#0,2760503#3,332033#-1,059441#0,5240906#2,887272#-0,78734#0,463618#3,143463#-0,8181526#0,5535483#2,973836#-0,8679025#0,597853#2,931936#-0,8772687#0,2924491#3,120581#-0,8330109#0,2101514#3,089392#-0,8178376#0,1840134#3,082495#-0,8374205#0,202966#3,101198#-0,835399#-0,2626205#2,840837#-0,7736568#-0,2203551#2,97607#-0,789124#-0,6379988#2,712519#-0,7867982#-0,6098585#2,736516#-0,7823487#-0,7105347#2,754592#-0,7236359#-0,6540629#2,674449#1  
frame6 #-0,8917639#0,9441403#2,994166#-0,8632886#0,7201284#3,006162# -1,248124#0,7704585#2,77528#-0,6566648#0,2144765#3,33751#-1,171293#0,7146983#2,741672#-0,6820453#0,2763544#3,270154#-0,9220508#0,5827218#2,717105#-0,7581869#0,4619881#3,082876#-0,7404912#0,5464133#2,946066#-0,8380758#0,5951008#2,873186#-0,8716946#0,3123125#3,075911#-0,8412564#0,228494#3,051888#-0,8187449#0,1904519#3,039248#-0,8603985#0,2119394#3,067642#-0,8310989#-0,2583038#2,825519#-0,7795321#-0,2132769#2,970134#-0,7856407#-0,6291923#2,715645#-0,7864281#-0,6099706#2,735425#-0,8154007#-0,6905136#2,665756#-0,7319326#-0,6575733#2,667311#1  
frame7 #-0,9346457#0,8218186#2,951568#-0,8725228#0,6268033#3,016088# -0,9200431#0,7755178#2,520004#-1,045565#0,07297322#2,970223#-0,8547574#0,7399481#2,526433#-1,077321#0,146692#3,031464#-0,6930683#0,6342163#2,658941#-1,10637#0,3246325#3,15973#-0,7437105#0,5442932#2,954535#-1,0579#0,526084#3,048701#-0,8363442#0,3157181#3,070226#-0,8457484#0,252108#3,031945#-0,7740888#0,1926163#3,025176#-0,9120687#0,185611#3,027264#-0,819779#-0,2513172#2,781461#-0,8570042#-0,2611741#3,352451#-0,7793559#-0,6228607#2,70938#-0,8062128#-0,4813846#2,899266#-0,8209599#-0,6765826#2,655208#-0,8304613#-0,5325823#2,815724#1  
frame8 #-0,8730553#0,832185#2,953223#-0,8675148#0,631193#3,010535# -0,6126556#0,7968677#2,437444#-1,066799#0,1178508#2,959828#-0,587595#0,7464821#2,49076#-1,083807#0,164652#3,016073#-0,5785395#0,6336692#2,704189#-1,120377#0,3294207#3,165446#-0,7288695#0,5298725#2,960478#-1,058041#0,5223035#3,042778#-0,8369982#0,343021#3,050919#-0,8429946#0,2867272#3,018536#-0,7659697#0,2029151#3,020085#-0,9173847#0,2125879#3,017336#-0,8196148#-0,2510961#2,779424#-0,7796952#-0,176472#2,852404#-0,7779732#-0,6213654#2,706743#-0,7826056#-0,6129041#2,700556#-0,821296#-0,6764287#2,654289#-0,8286363#-0,6822244#2,62178#1  
frame9 #-0,8732754#0,8265315#2,952127#-0,8651396#0,6347489#3,013926# -0,6096004#0,7873871#2,439438#-1,067243#0,117108#2,96556#-0,5856531#0,7429696#2,491729#-1,082843#0,1663294#3,016696#-0,5733474#0,6288794#2,708277#-1,123866#0,3289012#3,16929#-0,7238586#0,5246528#2,957962#-1,064093#0,5201874#3,050817#-0,8408961#0,3467772#3,050378#-0,8478447#0,2903658#3,021623#-0,7683686#0,2045726#3,019866#-0,9246817#0,2173435#3,022723#-0,8197879#-0,2503446#2,778192#-0,7821206#-0,1762987#2,85313#-0,7776439#-0,6178983#2,704842#-0,7825813#-0,6150025#2,698808#-0,8216925#-0,6763562#2,653994#-0,8237355#-0,6805176#2,627687#1  
frame10 #-0,8746938#0,8667855#2,942112#-0,854113#0,6756274#3,006662# -0,625397#0,7721301#2,424759#-1,053842#0,1166916#2,997499#-0,5950707#0,7327424#2,481197#-1,073839#0,1711781#3,039705#-0,580384#0,6251976#2,706629#-1,12121#0,3277954#3,198539#-0,7238879#0,5247275#2,95743#-1,063322#0,5158178#3,055615#-0,842838#0,3507679#3,047717#-0,8496017#0,2915847#3,022754#-0,7706953#0,207355#3,0198#-0,928679#0,2197045#3,029105#-0,8203921#-0,250145#2,777715#-0,7838092#-0,1762578#2,854688#-0,7776054#-0,6183275#2,703613#-0,7838955#-0,6167163#2,698499#-0,8227205#-0,6770824#2,652094#-0,8268539#-0,6863428#2,616134#1  
frame11 #-0,9122297#0,9029115#2,917871#-0,8552372#0,7301069#3,00276# -0,6390794#0,7563262#2,399868#-0,988512#0,09435671#2,937602#-0,6207421#0,7191047#2,443712#-1,004358#0,1459888#2,981568#-0,6251067#0,618919#2,670862#-1,057989#0,3056006#3,140018#-0,741109#0,5079543#2,951606#-1,064174#0,5557851#3,06068#-0,8548451#0,3838446#3,048243#-0,8629689#0,3140059#3,032061#-0,7899514#0,2291038#3,020915#-0,9414601#0,2527312#3,052565#-0,8218079#-0,2507054#2,777612#-0,7871624#-0,1793561#2,861349#-0,7779742#-0,6170833#2,701738#-0,7868826#-0,622999#2,701832#-0,8254003#-0,6768039#2,654985#-0,8509878#-0,6894118#2,63206#1  
