frame1 #0,05362552#1,004908#3,648991#-0,004386277#0,8254374#3,669218# 0,09529204#0,6877391#3,561903#-0,1310211#0,2686463#3,413181#0,1630699#0,6510572#3,561907#-0,128394#0,3349259#3,452418#0,1683248#0,4595384#3,680503#-0,2334441#0,5021226#3,559418#0,1432425#0,6134855#3,667924#-0,1458637#0,7018756#3,586265#-0,01380378#0,4385135#3,674077#0,003998781#0,3700644#3,618533#0,07035245#0,2793172#3,630736#-0,05974533#0,3190927#3,58609#0,05061483#-0,251777#3,673751#-0,09294736#-0,2622752#3,413489#-0,07937327#-0,5714856#3,322844#-0,1004427#-0,6008482#3,299961#-0,04562847#-0,6231995#3,226412#-0,08847184#-0,6622576#3,225401#1  
frame2 #0,05320211#1,003415#3,651704#-0,006457375#0,8222314#3,673765# 0,1379855#0,7293642#3,522722#-0,09520302#0,2760104#3,415283#0,169494#0,6310694#3,534139#-0,131617#0,3295775#3,456473#0,1702263#0,4561646#3,680212#-0,2339581#0,5013388#3,560064#0,1460016#0,6109545#3,668316#-0,1458141#0,7016904#3,586816#-0,01417295#0,4357635#3,674692#0,003870276#0,3677683#3,618702#0,07111666#0,2751744#3,629122#-0,0601333#0,3168384#3,586201#0,0486909#-0,2544321#3,673962#-0,09586835#-0,2578913#3,445741#-0,04089584#-0,5533357#3,378595#-0,09968099#-0,582779#3,308649#-0,007648993#-0,6039299#3,284031#-0,06643414#-0,6333733#3,214086#1  
frame3 #0,05611829#0,9939942#3,6682#-0,006407856#0,8111112#3,675943# 0,1410487#0,709001#3,517376#-0,09812464#0,2770284#3,418126#0,1698523#0,6151954#3,539308#-0,1331911#0,3290287#3,457192#0,1717969#0,4550631#3,682605#-0,2345992#0,5016032#3,560489#0,1424824#0,6072367#3,664354#-0,1456554#0,7016944#3,586818#-0,01353086#0,4289571#3,673538#0,004430592#0,3623653#3,616979#0,07081436#0,2701192#3,627095#-0,05883264#0,3136452#3,58439#0,04567551#-0,2579028#3,672283#-0,09860767#-0,2614574#3,458926#-0,03017892#-0,5658256#3,490936#-0,09933175#-0,5833116#3,319357#-0,06454657#-0,6091009#3,378669#-0,08920678#-0,6633323#3,238096#1  
frame4 #0,05949269#0,9930186#3,669243#-0,006463747#0,8111277#3,677228# 0,162019#0,6318194#3,503728#-0,09408017#0,2630985#3,417534#0,171031#0,5956679#3,546173#-0,1275558#0,3168604#3,451165#0,1762729#0,4318383#3,720558#-0,2385031#0,4928432#3,561166#0,1405002#0,6134933#3,665589#-0,1453012#0,7017971#3,587885#-0,01778257#0,3889842#3,666013#-0,0006973388#0,3100294#3,605922#0,06328537#0,2279482#3,611812#-0,06246839#0,2614023#3,577706#0,04505606#-0,2601629#3,674522#-0,09107824#-0,275871#3,487818#-0,03882895#-0,6015874#3,584212#-0,1020148#-0,5822029#3,320047#-0,06325366#-0,6241413#3,465836#-0,07056624#-0,6302842#3,229877#1  
frame5 #0,06241306#0,9951302#3,669211#-0,006708864#0,8125151#3,678086# 0,1574726#0,5924133#3,498903#-0,08333369#0,2540928#3,418075#0,1700005#0,5944494#3,518627#-0,1219711#0,3014849#3,454249#0,1649562#0,447849#3,70198#-0,2421168#0,4858037#3,561212#0,1234156#0,6745411#3,692986#-0,1438483#0,7030804#3,587604#-0,0186801#0,3856875#3,668689#0,00355906#0,3061483#3,611367#0,06723341#0,2281318#3,623059#-0,05432121#0,2523797#3,581355#0,04372969#-0,2644962#3,678274#-0,09120591#-0,2757136#3,48884#-0,03673421#-0,6080382#3,607213#-0,1094244#-0,5907679#3,310146#-0,06049003#-0,6276262#3,489253#-0,07129583#-0,638285#3,22339#1  
frame6 #0,06647094#0,9931728#3,670597#-0,005591726#0,81197#3,675737# 0,1729497#0,532107#3,497016#-0,07880977#0,248182#3,415576#0,174821#0,5296043#3,505117#-0,1172258#0,2960213#3,450321#0,1615503#0,4573469#3,689338#-0,2429395#0,4810248#3,561193#0,1401487#0,6681727#3,711284#-0,1435661#0,70311#3,588106#-0,0195082#0,3861441#3,670071#0,004976344#0,3071485#3,614707#0,07163732#0,2281679#3,63676#-0,05421763#0,2512414#3,581616#0,04333326#-0,2634827#3,679048#-0,0922177#-0,269468#3,48882#-0,03895672#-0,6099845#3,601144#-0,1046729#-0,5889782#3,351138#-0,06406324#-0,6294611#3,484393#-0,09784562#-0,6561254#3,250713#1  
frame7 #0,06347461#1,000017#3,663633#-0,004650792#0,812804#3,673596# 0,1822372#0,508881#3,492554#-0,07406351#0,2453809#3,411815#0,1753322#0,5237573#3,504955#-0,111383#0,2957709#3,443699#0,1593529#0,4531485#3,687678#-0,2443433#0,4772973#3,560957#0,1406443#0,6694094#3,716164#-0,1435081#0,7029325#3,587478#-0,01512693#0,4157229#3,676337#0,01102795#0,3535612#3,625902#0,07703937#0,2739051#3,654441#-0,05183887#0,2769968#3,580159#0,04378294#-0,2546151#3,678667#-0,09461728#-0,2654456#3,480429#-0,03971773#-0,6052766#3,583216#-0,1122439#-0,5724044#3,304385#-0,06680992#-0,6263883#3,467657#-0,07030417#-0,6194257#3,220603#1  
frame8 #0,05965943#0,9983124#3,66063#-0,005059102#0,8116798#3,674618# 0,1834491#0,4848488#3,492829#-0,06946309#0,241908#3,40788#0,1815446#0,4889868#3,492554#-0,1150784#0,3103197#3,435619#0,1488535#0,4407808#3,683414#-0,2464575#0,4745032#3,561434#0,1434648#0,6641884#3,721097#-0,1432242#0,7027401#3,587819#-0,01655077#0,4008112#3,6769#0,009343848#0,3214931#3,623359#0,07632267#0,2293911#3,653245#-0,05283037#0,2578141#3,57403#0,04368565#-0,2545525#3,67932#-0,09397031#-0,2656877#3,48222#-0,04477647#-0,5991553#3,571349#-0,1106194#-0,5808177#3,307941#-0,07085366#-0,6235002#3,456827#-0,06791291#-0,6276073#3,225079#1  
frame9 #0,05739223#0,9948569#3,650133#-0,00459437#0,8104527#3,672617# 0,187131#0,470587#3,502057#-0,07002293#0,2445225#3,404815#0,1846229#0,4455391#3,49654#-0,122105#0,3129424#3,435004#0,1471698#0,4329237#3,694707#-0,2469877#0,4754961#3,561214#0,1533314#0,6651952#3,733801#-0,1429534#0,7024105#3,587422#-0,01625383#0,4120286#3,677751#0,01155505#0,3464525#3,626791#0,08175842#0,2624314#3,660024#-0,05269337#0,2719024#3,57511#0,04374051#-0,254678#3,678949#-0,09377053#-0,2656652#3,48137#-0,05136542#-0,5814535#3,486727#-0,1125347#-0,5829746#3,307311#-0,08149275#-0,6199852#3,377175#-0,06792162#-0,6297279#3,22541#1  
frame10 #0,05786094#0,996514#3,652877#-0,003738496#0,8058544#3,668991# 0,1880832#0,4689121#3,50183#-0,08793394#0,2515383#3,39567#0,1783572#0,4449721#3,493114#-0,1272129#0,3124068#3,426788#0,1467561#0,4325916#3,694137#-0,2465514#0,4747612#3,561077#0,1542661#0,665817#3,73509#-0,1427801#0,7012517#3,587007#-0,01564908#0,4142669#3,677428#0,01218413#0,3480909#3,626391#0,08189753#0,2625139#3,659431#-0,05093976#0,278522#3,5758#0,04289138#-0,2570692#3,677996#-0,09620057#-0,2648882#3,472714#-0,04109726#-0,6060672#3,52005#-0,1102901#-0,5862444#3,309009#-0,07290773#-0,6319368#3,40723#-0,06548715#-0,6330804#3,227188#1  
frame11 #0,05661952#0,9971827#3,645628#-0,002708282#0,8064478#3,666509# 0,2061423#0,477098#3,443333#-0,09189993#0,2469431#3,374891#0,1808196#0,4554279#3,503839#-0,1193327#0,2904757#3,420365#0,1431813#0,4706682#3,715595#-0,2453106#0,4733204#3,562145#0,1541697#0,6626708#3,732869#-0,1425267#0,7010477#3,585741#-0,01533635#0,4193926#3,675516#0,01206289#0,3523974#3,624384#0,08147868#0,2688584#3,656522#-0,05159541#0,2816231#3,574203#0,04370432#-0,2565535#3,677348#-0,0969406#-0,260577#3,462515#-0,04295002#-0,605692#3,522869#-0,1105559#-0,5860082#3,309016#-0,07393168#-0,6313044#3,409718#-0,06583813#-0,6328801#3,227124#1  
frame12 #0,05714021#0,9959233#3,639878#-0,002173356#0,8061743#3,665231# 0,1843882#0,486185#3,486653#-0,1074459#0,2588708#3,386913#0,184996#0,4870611#3,499839#-0,1386465#0,3097#3,421133#0,1429921#0,4494669#3,697235#-0,245486#0,4755493#3,565099#0,1551472#0,6597862#3,732609#-0,1420641#0,7001516#3,584678#-0,01540342#0,419726#3,674736#0,01202588#0,3525313#3,623537#0,08147685#0,2693765#3,653537#-0,05196162#0,2822493#3,574018#0,04104861#-0,2631834#3,674651#-0,09533518#-0,2611613#3,463352#-0,05165947#-0,615641#3,524342#-0,1065972#-0,5926246#3,319694#-0,07962511#-0,637797#3,409894#-0,0989278#-0,6592301#3,245555#1  
frame13 #0,05601818#0,9932677#3,635664#0,001310204#0,80617#3,658838# 0,1840576#0,4913432#3,480137#-0,1120258#0,2539102#3,38486#0,1875647#0,4943089#3,4626#-0,1431467#0,2997906#3,425758#0,1432778#0,4568583#3,698771#-0,2447564#0,4757829#3,565507#0,1538924#0,6533225#3,726008#-0,1418626#0,6993964#3,584079#-0,01475301#0,4217736#3,672991#0,01150123#0,3536652#3,621845#0,08070128#0,2701349#3,652538#-0,05306707#0,2834774#3,572266#0,04122754#-0,2630577#3,674519#-0,09220353#-0,2633007#3,466444#-0,04983763#-0,5986895#3,492584#-0,104181#-0,5870237#3,332098#-0,08079131#-0,6304331#3,381303#-0,09903683#-0,6591352#3,245235#1  
frame14 #0,05484481#0,996101#3,629403#0,002447286#0,8056104#3,655121# 0,1830386#0,5009153#3,457703#-0,1142177#0,2438508#3,390911#0,1762224#0,5095761#3,470025#-0,1550624#0,3014572#3,43495#0,1522404#0,4641679#3,681469#-0,2453945#0,4768738#3,565885#0,1545485#0,6527617#3,723661#-0,1414074#0,6988339#3,583638#-0,01276119#0,4211469#3,672198#0,01310569#0,3520409#3,621727#0,08123255#0,2690255#3,652057#-0,04945778#0,2811263#3,574518#0,04287971#-0,2620264#3,675066#-0,09204942#-0,2647026#3,464725#-0,0501096#-0,6104413#3,503014#-0,106738#-0,58479#3,32284#-0,08020655#-0,6364553#3,390168#-0,09949344#-0,6586699#3,246172#1  
frame15 #0,05280836#0,9992111#3,626671#0,0009059141#0,809355#3,648898# 0,1606212#0,5349745#3,492415#-0,1177993#0,2430917#3,391014#0,1495489#0,5356256#3,493918#-0,15662#0,2994957#3,434457#0,1575365#0,4585226#3,681056#-0,2481464#0,478531#3,567002#0,1594643#0,6572676#3,719285#-0,1414047#0,6989359#3,582628#-0,0111002#0,4243169#3,669663#0,01352666#0,3541662#3,62027#0,08313159#0,2713898#3,649508#-0,05016787#0,2836879#3,57466#0,04228891#-0,2613186#3,672691#-0,09095475#-0,2620508#3,457816#-0,05286305#-0,6133395#3,501986#-0,1064825#-0,5847637#3,322684#-0,08111741#-0,6371971#3,388248#-0,09912808#-0,6593773#3,246662#1  
frame16 #0,04967332#1,000085#3,62521#0,00109967#0,8086843#3,647849# 0,1527513#0,544064#3,45796#-0,1249262#0,2426629#3,395229#0,1456426#0,5469114#3,489941#-0,1602737#0,2989657#3,436024#0,1641232#0,4589118#3,671947#-0,2489203#0,4790013#3,566727#0,1514981#0,6896701#3,702977#-0,1420216#0,6988936#3,581531#-0,007874402#0,4259985#3,667931#0,0144919#0,3566905#3,61815#0,08538512#0,2791663#3,642951#-0,04977782#0,2862956#3,574637#0,04229236#-0,260985#3,672459#-0,08976678#-0,259922#3,451646#-0,05382994#-0,614557#3,503239#-0,1036328#-0,586247#3,326844#-0,08296004#-0,6372689#3,389791#-0,09650019#-0,653491#3,262309#1  
frame17 #0,04331847#1,001699#3,61932#-0,001651515#0,8133534#3,624206# 0,1118584#0,5797585#3,405617#-0,1409806#0,2385883#3,398532#0,1417287#0,5546186#3,489478#-0,1650325#0,2836678#3,443964#0,1780884#0,4402636#3,653187#-0,250067#0,4776604#3,566093#0,1562674#0,6866299#3,695911#-0,1443922#0,6995333#3,579654#-0,00915022#0,431963#3,655905#0,01124896#0,360203#3,609865#0,08352862#0,2853655#3,621673#-0,05580678#0,2900777#3,575854#0,04331287#-0,2568154#3,669257#-0,09027686#-0,2269595#3,410112#-0,004855476#-0,5580322#3,664747#-0,09956615#-0,5711287#3,335349#-0,03819317#-0,5868125#3,55403#-0,09089616#-0,639766#3,278078#1  
frame18 #0,04089326#1,003137#3,619912#-0,0009259827#0,8129097#3,623848# 0,04927034#0,6205854#3,342805#-0,1402599#0,1855073#3,405927#0,0767099#0,6024677#3,436022#-0,1681246#0,2590665#3,442491#0,1815875#0,4507188#3,600217#-0,2517185#0,4797441#3,566673#0,163946#0,6831912#3,688685#-0,1466468#0,7010143#3,579863#-0,008904842#0,434013#3,650595#0,008248542#0,3637708#3,603946#0,08185048#0,2866993#3,611457#-0,06328685#0,2953569#3,575647#0,0433724#-0,257336#3,668393#-0,08748044#-0,2363321#3,41738#0,03155046#-0,5333011#3,76464#-0,09836377#-0,5711624#3,334392#-0,001974508#-0,561754#3,653897#-0,09055057#-0,6416003#3,274982#1  
